id,min_et,min_st,min_rt,min_lf,min_vol
5169,11,1,8,70,1
5170,14,4,2,10,1
5171,34,2,2,232,1
5172,35,4,2,312,6
5173,20,1,2,134,1
5174,34,2,2,229,22
5175,11,1,8,160,1
5176,11,1,2,74,3
5177,34,2,2,227,4
5178,15,2,8,82,2
5179,15,2,8,56,1
5180,23,1,7,225,3
5181,11,1,8,54,1
5182,11,1,8,70,3
5183,20,1,2,134,1
5184,2,1,8,2,1
5185,34,2,2,232,15
5186,11,1,8,82,28
5187,15,2,8,82,11
5188,11,1,8,171,1
5189,35,4,2,307,1
5190,7,1,1,54,1
5191,11,1,8,71,5
5192,14,1,2,134,1
5193,11,1,8,82,4
5194,35,4,2,308,1
5195,15,2,8,80,1
5196,11,1,8,56,4
5197,11,1,8,54,2
5198,34,2,2,232,8
5199,54,4,2,360,4
5200,11,1,8,54,1
5201,34,2,2,229,24
5202,11,1,7,54,1
5203,34,2,2,232,10
5204,15,2,8,82,2
5205,34,2,2,232,5
5206,30,5,9,133,1
5207,11,2,7,75,2
5208,34,2,2,232,6
5209,34,2,2,228,1
5210,34,2,2,232,5
5211,34,2,2,232,13
5212,34,2,2,232,10
5213,34,2,2,232,23
5214,11,1,6,54,1
5215,11,1,2,74,2
5216,34,2,2,234,2
5217,34,2,2,234,19
5218,34,2,2,232,1
5219,34,2,2,232,15
5220,54,4,2,360,1
5221,11,1,8,155,1
5222,34,2,2,227,3
5223,34,2,2,227,1
5224,11,1,8,87,1
5225,15,2,8,80,3
5226,20,1,2,134,1
5227,11,1,8,54,1
5228,34,2,2,232,39
5229,34,2,2,227,1
5230,11,1,8,20,2
5231,35,4,2,307,1
5232,15,2,8,82,9
5233,34,2,2,227,1
5234,34,2,2,229,23
5235,11,2,7,75,4
5236,34,2,2,232,9
5237,20,1,2,134,1
5238,34,2,2,232,5
5239,34,2,2,229,2
5240,34,2,2,232,1
5241,11,1,8,82,12
5242,34,2,2,232,2
5243,11,2,8,68,1
5244,42,1,2,283,7
5245,11,1,8,73,2
5246,35,4,2,312,1
5247,15,2,8,82,1
5248,11,1,8,45,1
5249,15,2,8,80,2
5250,35,4,2,312,1
5251,11,1,8,73,2
5252,20,1,2,134,1
5253,11,1,6,68,1
5254,11,1,8,80,3
5255,15,2,8,52,2
5256,54,4,2,360,1
5257,11,1,8,54,4
5258,34,2,2,228,1
5259,11,1,2,80,1
5260,11,1,8,170,1
5261,34,2,2,232,5
5262,34,2,2,232,1
5263,11,1,2,74,2
5264,11,1,2,44,1
5265,20,1,2,134,1
5266,34,2,2,232,1
5267,11,4,7,27,1
5268,11,2,8,73,3
5269,34,2,2,232,2
5270,34,2,2,232,2
5271,15,2,8,51,2
5272,11,1,8,68,1
5273,50,1,2,289,1
5274,34,2,2,232,1
5275,34,2,2,232,11
5276,15,2,8,82,8
5277,34,2,2,227,1
5278,20,1,2,134,1
5279,20,1,2,134,1
5280,11,1,8,80,1
5281,46,1,2,284,270
5282,11,1,8,54,5
5283,34,2,2,229,1
5284,34,2,2,229,2
5285,11,1,8,82,15
5286,15,2,8,71,2
5287,34,2,2,234,29
5288,11,1,8,55,1
5289,20,1,2,134,1
5290,11,1,8,80,1
5291,11,2,8,54,3
5292,34,2,2,232,1
5293,34,2,2,232,16
5294,11,1,2,44,1
5295,15,2,8,82,2
5296,34,2,2,229,1
5297,11,1,8,73,72
5298,20,1,2,134,1
5299,20,1,2,134,1
5300,11,1,8,80,18
5301,50,4,2,374,3
5302,20,1,2,134,2
5303,15,2,8,80,1
5304,15,2,8,82,2
5305,34,2,2,232,1
5306,30,5,9,133,1
5307,34,2,2,232,1
5308,34,2,2,232,3
5309,11,1,2,54,3
5310,11,1,8,71,1
5311,11,1,8,73,3
5312,34,2,2,229,28
5313,34,2,2,232,1
5314,34,2,2,227,1
5315,11,1,8,71,1
5316,11,2,2,81,2
5317,11,1,8,61,1
5318,34,2,2,232,1
5319,11,4,8,54,1
5320,11,1,8,80,1
5321,34,2,2,229,1
5322,11,1,8,66,1
5323,11,1,8,71,1
5324,15,1,2,80,1
5325,11,1,8,82,20
5326,21,1,2,135,1
5327,34,2,2,232,6
5328,15,2,8,82,5
5329,11,1,2,44,1
5330,34,2,2,232,2
5331,34,2,2,232,8
5332,34,2,2,232,2
5333,11,1,8,54,4
5334,11,1,8,52,1
5335,15,2,8,80,1
5336,34,2,2,232,1
5337,11,1,8,71,2
5338,11,1,4,54,1
5339,11,1,8,56,2
5340,11,1,6,68,1
5341,11,1,8,70,19
5342,34,2,2,232,1
5343,34,2,2,235,1
5344,15,2,8,82,16
5345,15,1,2,71,4
5346,34,2,2,221,1
5347,11,1,8,73,1
5348,20,1,2,134,1
5349,15,2,8,56,1
5350,20,1,2,134,1
5351,35,4,2,308,1
5352,11,1,8,82,8
5353,11,1,2,56,1
5354,11,2,2,44,1
5355,11,1,8,71,2
5356,11,1,8,51,46
5357,34,2,2,232,14
5358,11,1,8,54,2
5359,11,1,8,71,3
5360,34,2,2,232,2
5361,34,2,2,232,28
5362,34,2,2,221,1
5363,11,1,4,47,2
5364,34,2,2,229,1
5365,34,2,2,232,1
5366,34,2,2,227,2
5367,11,2,8,54,1
5368,11,2,8,73,3
5369,34,2,2,232,1
5370,11,1,8,54,3
5371,15,2,8,82,2
5372,15,2,8,82,1
5373,34,2,2,232,6
5374,11,2,8,73,5
5375,11,1,8,70,2
5376,34,2,2,232,9
5377,42,1,2,291,1
5378,35,4,2,313,1
5379,11,1,6,68,1
5380,34,2,2,232,5
5381,15,2,8,82,8
5382,11,1,8,170,1
5383,50,4,2,374,1
5384,11,1,8,70,1
5385,34,2,2,232,32
5386,34,2,2,232,2
5387,11,1,2,71,6
5388,34,2,2,232,1
5389,34,2,2,232,1
5390,34,2,2,232,3
5391,34,2,2,232,3
5392,11,4,8,70,1
5393,11,1,8,55,1
5394,20,1,2,134,1
5395,11,1,8,71,1
5396,34,2,2,227,3
5397,11,1,8,54,3
5398,42,1,2,283,13
5399,34,2,2,233,1
5400,11,1,8,73,1
5401,11,1,8,71,9
5402,20,1,2,134,1
5403,20,1,2,134,1
5404,15,2,8,82,5
5405,34,2,2,228,2
5406,11,2,8,73,3
5407,11,1,8,71,2
5408,11,1,8,71,2
5409,42,1,2,283,1
5410,11,2,8,47,1
5411,15,2,8,82,2
5412,20,1,2,134,1
5413,15,2,8,71,4
5414,34,2,2,233,1
5415,20,1,2,134,1
5416,28,1,2,212,1
5417,11,1,8,54,1
5418,11,1,8,55,2
5419,35,4,2,312,1
5420,11,1,8,73,8
5421,15,1,2,71,1
5422,20,1,2,134,1
5423,15,2,8,82,20
5424,34,2,2,232,1
5425,11,1,8,80,2
5426,54,4,2,360,1
5427,11,2,8,73,1
5428,34,2,2,232,5
5429,15,2,8,82,5
5430,11,1,2,160,1
5431,11,1,8,80,2
5432,34,2,2,232,5
5433,34,2,2,227,1
5434,20,1,2,134,1
5435,34,2,2,232,1
5436,11,1,8,71,1
5437,11,1,8,71,1
5438,34,2,2,234,31
5439,11,1,8,82,2
5440,34,2,2,232,2
5441,11,1,8,182,1
5442,34,2,2,232,41
5443,15,2,8,82,7
5444,15,2,8,82,6
5445,34,2,2,232,2
5446,42,1,2,283,2
5447,15,2,8,71,2
5448,35,4,2,312,1
5449,35,4,2,312,1
5450,11,1,8,71,16
5451,11,1,8,54,5
5452,11,1,2,55,3
5453,15,2,8,82,20
5454,11,1,8,73,33
5455,23,4,7,306,1
5456,11,1,8,71,1
5457,15,2,8,82,5
5458,10,4,3,38,1
5459,11,1,8,65,1
5460,11,1,8,54,80
5461,15,2,8,71,2
5462,34,2,2,232,26
5463,34,2,2,232,2
5464,11,1,8,54,1
5465,15,2,8,82,3
5466,34,2,2,227,1
5467,34,2,2,232,8
5468,29,1,9,132,1
5469,15,2,8,82,2
5470,11,1,8,70,9
5471,15,2,8,82,6
5472,15,1,2,71,1
5473,20,1,2,134,1
5474,23,4,7,223,1
5475,11,1,5,55,1
5476,15,2,8,82,10
5477,11,1,8,73,5
5478,11,1,8,71,4
5479,11,2,8,55,1
5480,34,2,2,232,2
5481,42,1,2,283,1
5482,34,2,2,233,2
5483,34,2,2,232,1
5484,11,1,6,54,2
5485,11,1,8,170,1
5486,15,2,8,82,3
5487,11,1,8,54,4
5488,11,1,2,46,3
5489,42,1,2,283,1
5490,34,2,2,232,1
5491,11,1,8,160,1
5492,42,1,2,283,2
5493,11,1,8,171,1
5494,34,2,2,228,2
5495,34,2,2,232,6
5496,10,4,3,38,1
5497,11,1,8,71,1
5498,34,2,2,233,3
5499,34,2,2,228,1
5500,34,2,2,229,1
5501,34,2,2,232,10
5502,34,2,2,232,1
5503,15,2,8,82,6
5504,6,1,1,56,1
5505,35,4,2,307,1
5506,11,1,8,55,1
5507,15,2,8,82,3
5508,11,1,8,71,1
5509,11,1,8,54,1
5510,11,1,8,74,1
5511,11,2,2,181,1
5512,15,2,8,76,1
5513,11,1,8,71,1
5514,20,1,2,134,1
5515,11,1,8,80,1
5516,20,1,2,134,1
5517,11,1,8,80,2
5518,21,1,2,220,1
5519,15,2,8,80,1
5520,35,4,2,312,4
5521,34,2,2,227,3
5522,42,1,2,291,1
5523,20,1,2,134,5
5524,42,1,2,283,1
5525,11,4,8,54,4
5526,34,2,2,228,4
5527,15,2,2,80,2
5528,11,1,8,54,1
5529,34,2,2,227,1
5530,11,1,8,170,2
5531,15,2,8,80,1
5532,11,1,8,71,3
5533,11,1,8,185,1
5534,11,1,4,54,1
5535,11,1,8,73,19
5536,15,2,8,82,1
5537,11,1,6,68,1
5538,15,2,8,82,6
5539,34,2,2,232,20
5540,34,2,2,232,3
5541,11,1,8,51,1
5542,34,2,2,232,1
5543,11,1,8,71,1
5544,11,1,2,70,1
5545,11,1,8,80,2
5546,35,4,2,313,2
5547,11,1,8,73,30
5548,20,1,2,134,1
5549,42,1,2,283,1
5550,34,2,2,232,1
5551,46,1,2,284,208
5552,20,1,2,134,7
5553,11,2,8,87,1
5554,11,1,8,71,2
5555,34,2,2,232,21
5556,11,1,8,71,1
5557,11,1,8,68,2
5558,34,2,2,235,334
5559,11,1,8,73,24
5560,34,2,2,232,88
5561,11,1,8,66,1
5562,11,1,8,71,3
5563,11,1,8,82,33
5564,11,1,8,73,7
5565,34,2,2,229,2
5566,34,2,2,232,1
5567,42,1,2,283,1
5568,11,1,4,54,8
5569,15,2,8,82,8
5570,34,2,2,227,1
5571,11,1,8,54,6
5572,15,2,8,82,9
5573,15,2,8,71,1
5574,42,4,2,368,1
5575,20,1,2,134,1
5576,11,1,8,54,1
5577,15,2,8,82,4
5578,34,2,2,234,1
5579,34,2,2,232,7
5580,46,1,2,284,1
5581,35,4,2,301,1
5582,11,1,2,134,1
5583,34,2,2,229,1
5584,34,2,2,227,1
5585,11,1,8,54,1
5586,11,1,8,71,2
5587,11,1,8,87,1
5588,15,2,8,80,1
5589,15,2,8,82,3
5590,11,2,4,170,2
5591,2,1,8,1,1
5592,34,2,2,232,1
5593,11,1,8,66,3
5594,11,1,8,56,4
5595,15,2,8,56,1
5596,34,2,2,232,1
5597,11,1,8,68,1
5598,34,2,2,233,1
5599,11,1,8,54,1
5600,34,2,2,235,106
5601,20,1,2,134,1
5602,15,2,8,71,1
5603,15,2,8,82,6
5604,34,2,2,232,2
5605,34,2,2,232,2
5606,11,1,8,56,1
5607,11,4,7,75,1
5608,34,2,2,233,1
5609,11,1,8,71,1
5610,11,1,8,82,10
5611,15,2,8,80,2
5612,11,1,2,54,1
5613,34,2,2,232,67
5614,11,2,8,42,1
5615,11,1,8,70,13
5616,34,2,2,232,7
5617,11,1,8,80,2
5618,34,2,2,232,1
5619,34,2,2,232,32
5620,34,2,2,232,34
5621,11,1,8,80,3
5622,34,2,2,228,1
5623,15,2,8,82,2
5624,11,1,6,54,2
5625,35,4,2,312,1
5626,20,1,2,134,1
5627,35,4,2,313,2
5628,35,4,2,308,1
5629,11,1,8,85,1
5630,20,1,2,134,1
5631,11,2,8,68,1
5632,15,2,8,82,7
5633,15,2,8,68,1
5634,15,2,8,82,1
5635,11,1,8,82,6
5636,34,2,2,232,2
5637,15,2,8,82,7
5638,11,1,8,56,1
5639,34,2,2,233,1
5640,11,2,8,55,1
5641,11,1,8,82,2
5642,11,1,8,46,1
5643,15,1,8,82,6
5644,20,1,2,134,1
5645,34,2,2,228,5
5646,35,4,2,307,2
5647,15,2,8,80,1
5648,34,2,2,232,1
5649,34,2,2,232,6
5650,11,1,8,71,8
5651,35,4,2,312,1
5652,15,2,8,82,5
5653,34,2,2,232,56
5654,11,1,8,71,6
5655,15,2,8,82,4
5656,34,2,2,227,1
5657,11,1,8,71,1
5658,15,2,8,82,10
5659,34,2,2,228,1
5660,11,1,8,54,1
5661,34,2,2,232,100
5662,11,1,8,55,1
5663,11,2,7,75,1
5664,34,2,2,232,26
5665,15,2,8,80,1
5666,34,2,2,232,1
5667,15,2,8,71,1
5668,35,4,2,315,1
5669,11,2,2,44,1
5670,35,4,2,313,2
5671,20,1,2,134,1
5672,11,1,8,55,1
5673,11,1,8,82,22
5674,20,1,2,134,1
5675,11,1,8,73,6
5676,11,2,8,68,1
5677,11,1,8,80,2
5678,46,1,2,284,38
5679,15,2,8,71,3
5680,34,2,2,233,1
5681,11,2,4,54,1
5682,15,2,8,82,4
5683,46,1,2,284,3
5684,15,2,8,80,1
5685,34,2,2,232,14
5686,11,1,2,44,1
5687,34,2,2,232,9
5688,11,1,6,68,1
5689,34,2,2,235,72
5690,11,1,8,73,1
5691,11,1,8,172,1
5692,11,1,8,55,4
5693,15,2,8,80,2
5694,11,1,8,80,2
5695,11,1,8,54,2
5696,23,4,7,306,1
5697,15,2,8,80,1
5698,11,1,8,73,3
5699,8,1,2,81,6
5700,34,2,2,232,6
5701,11,1,8,82,1
5702,11,1,8,81,2
5703,11,1,8,82,10
5704,11,1,4,54,1
5705,11,1,8,55,1
5706,11,1,8,70,1
5707,15,2,8,82,6
5708,20,1,2,134,5
5709,20,1,2,134,1
5710,10,4,3,37,1
5711,11,1,8,52,2
5712,42,1,2,283,1
5713,34,2,2,232,2
5714,34,2,2,227,1
5715,34,2,2,232,60
5716,50,4,2,374,2
5717,11,1,8,68,1
5718,34,2,2,232,1
5719,34,2,2,232,4
5720,54,4,2,362,1
5721,34,2,2,227,1
5722,15,2,8,82,4
5723,15,2,8,82,2
5724,11,1,8,71,5
5725,15,2,8,71,2
5726,11,1,4,68,1
5727,34,2,2,232,25
5728,11,1,8,71,1
5729,35,4,2,313,1
5730,11,1,8,25,3
5731,15,2,8,80,2
5732,15,2,8,82,3
5733,15,2,8,82,32
5734,11,1,2,10,1
5735,11,1,2,160,1
5736,11,2,4,68,1
5737,11,1,2,54,1
5738,34,2,2,232,1
5739,11,1,8,55,8
5740,11,1,8,82,13
5741,15,2,8,82,18
5742,15,2,8,82,10
5743,11,1,8,54,4
5744,11,1,8,82,9
5745,34,2,2,229,1
5746,11,1,2,44,1
5747,34,2,2,233,1
5748,34,2,2,232,1
5749,11,1,6,68,1
5750,15,2,8,71,2
5751,34,2,2,232,3
5752,11,1,8,55,1
5753,50,4,2,374,3
5754,11,2,8,68,2
5755,34,2,2,230,1
5756,11,1,8,70,1
5757,20,1,2,134,1
5758,34,2,2,232,3
5759,11,2,8,73,1
5760,34,2,2,232,4
5761,11,1,8,68,1
5762,34,2,2,233,1
5763,11,1,8,70,8
5764,20,1,2,134,1
5765,11,1,8,54,2
5766,11,1,8,170,1
5767,34,2,2,94,1
5768,15,2,8,82,28
5769,15,2,8,82,4
5770,34,2,2,233,4
5771,11,1,8,82,12
5772,34,2,2,232,1
5773,11,1,8,71,1
5774,35,4,2,312,1
5775,15,2,8,71,1
5776,15,2,8,71,1
5777,34,2,2,232,1
5778,35,4,2,308,1
5779,11,1,8,68,1
5780,35,4,2,312,1
5781,11,4,8,54,1
5782,15,2,8,82,14
5783,34,2,2,232,1
5784,3,1,1,8,1
5785,34,2,2,228,1
5786,35,4,2,312,1
5787,34,2,2,232,1
5788,15,2,8,82,8
5789,35,4,2,312,1
5790,20,1,2,134,1
5791,34,2,2,232,2
5792,11,1,8,56,3
5793,34,2,2,233,1
5794,34,2,2,232,1
5795,34,2,2,232,21
5796,20,1,2,219,1
5797,11,2,8,73,7
5798,11,1,8,170,1
5799,11,2,8,81,1
5800,54,5,2,360,1
5801,11,1,8,71,3
5802,11,1,8,73,3
5803,15,2,8,68,2
5804,11,1,8,55,2
5805,34,2,2,232,37
5806,11,1,8,73,12
5807,34,2,2,232,2
5808,11,1,2,54,1
5809,34,2,2,232,1
5810,34,2,2,232,3
5811,34,2,2,228,23
5812,35,4,2,308,1
5813,11,1,2,44,1
5814,34,2,2,232,26
5815,11,1,8,54,1
5816,34,2,2,232,6
5817,34,2,2,232,2
5818,11,1,8,54,7
5819,34,2,2,232,1
5820,11,1,8,56,1
5821,11,1,8,73,9
5822,34,2,2,227,1
5823,34,2,2,229,1
5824,11,2,8,70,1
5825,34,2,2,227,1
5826,21,1,2,135,1
5827,11,1,8,70,2
5828,11,1,8,55,8
5829,34,2,2,232,1
5830,11,1,8,54,1
5831,20,1,2,134,1
5832,11,1,8,55,3
5833,11,1,8,54,1
5834,11,1,8,80,1
5835,11,1,8,71,1
5836,11,1,8,171,2
5837,11,2,4,54,1
5838,34,2,2,232,28
5839,11,1,8,54,2
5840,34,2,2,235,1
5841,34,2,2,232,11
5842,34,2,2,229,19
5843,34,2,2,227,2
5844,15,2,8,82,48
5845,34,2,2,232,1
5846,34,2,2,228,1
5847,20,1,2,95,1
5848,34,2,2,232,5
5849,34,2,2,232,2
5850,15,2,8,80,1
5851,11,2,8,40,1
5852,15,2,8,82,2
5853,11,4,8,54,5
5854,34,2,2,232,3
5855,11,1,4,54,8
5856,11,1,8,81,6
5857,11,1,4,47,1
5858,34,2,2,227,1
5859,34,2,2,228,5
5860,34,2,2,94,1
5861,11,1,8,73,7
5862,34,2,2,234,1
5863,42,1,2,283,2
5864,34,2,2,232,4
5865,34,2,2,232,1
5866,15,2,8,80,2
5867,11,1,8,195,2
5868,34,2,2,232,1
5869,34,2,2,233,1
5870,11,1,8,71,3
5871,11,1,8,82,2
5872,34,2,2,232,6
5873,34,2,2,232,1
5874,11,1,8,71,1
5875,11,1,2,54,1
5876,34,2,2,232,2
5877,11,1,8,71,1
5878,35,4,2,313,1
5879,34,2,2,232,2
5880,11,1,8,73,2
5881,34,2,2,232,1
5882,35,4,2,307,1
5883,34,2,2,232,2
5884,34,2,2,232,2
5885,34,2,2,227,1
5886,34,2,2,232,3
5887,11,1,8,55,2
5888,34,2,2,232,2
5889,11,1,4,47,1
5890,11,1,8,170,1
5891,11,4,8,54,28
5892,20,1,2,134,1
5893,15,2,8,82,4
5894,11,4,8,73,2
5895,34,2,2,227,1
5896,20,1,2,134,1
5897,11,1,8,56,1
5898,11,2,2,81,2
5899,15,2,8,71,1
5900,11,4,8,44,1
5901,24,1,2,239,1
5902,15,2,8,82,7
5903,34,2,2,232,9
5904,34,2,2,232,3
5905,11,2,4,54,1
5906,34,2,2,227,2
5907,50,1,2,289,1
5908,11,1,7,54,1
5909,42,1,2,283,2
5910,34,2,2,232,5
5911,11,1,6,68,1
5912,11,1,8,74,1
5913,11,1,8,80,2
5914,34,2,2,232,30
5915,11,2,5,55,1
5916,20,1,2,219,1
5917,11,1,8,71,1
5918,11,1,8,68,1
5919,11,1,8,54,1
5920,34,2,2,232,4
5921,11,1,8,54,3
5922,11,1,8,56,1
5923,11,1,8,54,1
5924,11,1,8,80,2
5925,34,2,2,232,1
5926,21,1,2,135,1
5927,34,2,2,232,1
5928,11,1,8,80,3
5929,11,1,8,55,2
5930,11,1,8,45,1
5931,11,1,8,55,22
5932,11,1,8,71,1
5933,11,1,8,68,1
5934,23,1,7,306,1
5935,34,2,2,232,5
5936,42,1,2,283,1
5937,11,2,8,55,1
5938,11,1,8,71,3
5939,34,2,2,227,1
5940,34,2,2,227,1
5941,34,2,2,235,2
5942,11,1,8,68,2
5943,34,2,2,232,1
5944,34,2,2,232,33
5945,34,2,2,234,29
5946,32,4,8,280,1
5947,34,2,2,232,1
5948,34,2,2,232,20
5949,20,1,2,134,1
5950,13,1,6,273,1
5951,15,2,8,82,2
5952,11,1,7,54,2
5953,11,1,8,56,1
5954,11,2,8,73,1
5955,11,1,8,63,1
5956,34,2,2,221,1
5957,20,1,2,134,1
5958,34,2,2,232,1
5959,34,2,2,232,2
5960,34,2,2,232,5
5961,15,2,8,80,6
5962,34,2,2,232,1
5963,11,1,8,70,4
5964,11,1,8,73,1
5965,11,1,8,87,2
5966,15,2,8,82,6
5967,11,1,8,75,1
5968,11,1,8,73,1
5969,11,1,8,80,1
5970,11,1,8,53,1
5971,34,2,2,232,11
5972,11,1,8,71,5
5973,11,2,8,73,1
5974,21,1,2,220,1
5975,11,1,8,80,6
5976,15,2,8,82,2
5977,11,1,8,54,2
5978,20,1,2,134,1
5979,11,1,8,18,2
5980,11,1,8,71,6
5981,11,1,8,54,5
5982,11,1,2,54,1
5983,34,2,2,232,2
5984,34,2,2,228,1
5985,34,2,2,227,1
5986,11,1,8,55,1
5987,15,1,8,82,6
5988,11,1,8,70,6
5989,11,1,2,82,1
5990,34,2,2,232,2
5991,11,1,8,82,2
5992,15,2,8,82,6
5993,42,1,2,283,1
5994,11,1,6,68,6
5995,34,2,2,232,1
5996,34,2,2,227,1
5997,54,4,2,360,8
5998,11,1,8,20,7
5999,20,1,2,134,1
6000,34,2,2,233,1
6001,34,2,2,232,1
6002,34,2,2,229,16
6003,11,2,8,68,1
6004,34,2,2,232,1
6005,20,1,2,134,1
6006,20,1,2,134,1
6007,54,4,2,360,2
6008,11,1,8,56,1
6009,35,4,2,312,2
6010,11,1,8,71,4
6011,11,1,8,54,2
6012,11,1,8,209,1
6013,34,2,2,232,1
6014,15,2,8,82,3
6015,20,1,2,134,1
6016,15,2,8,71,1
6017,34,2,2,232,1
6018,11,1,8,54,1
6019,11,1,2,55,2
6020,15,1,2,82,3
6021,11,1,8,83,1
6022,34,2,2,227,3
6023,11,2,8,54,1
6024,20,1,2,134,1
6025,11,1,8,80,2
6026,11,1,2,134,1
6027,11,1,8,63,2
6028,15,2,8,82,10
6029,11,1,8,54,1
6030,11,1,6,68,1
6031,34,2,2,229,1
6032,11,1,8,82,10
6033,11,2,7,87,1
6034,13,1,6,345,1
6035,11,2,8,68,1
6036,11,2,8,55,1
6037,11,1,8,71,1
6038,34,2,2,229,31
6039,34,2,2,232,1
6040,42,1,2,283,3
6041,15,2,8,82,41
6042,2,1,8,54,1
6043,20,1,2,134,1
6044,11,1,8,71,1
6045,34,2,2,232,6
6046,11,1,8,73,5
6047,34,2,2,232,1
6048,35,4,2,308,1
6049,34,2,2,232,3
6050,11,1,6,54,2
6051,11,1,8,71,2
6052,34,2,2,229,4
6053,20,1,2,134,1
6054,15,2,8,82,5
6055,11,1,8,71,1
6056,11,2,8,73,2
6057,11,4,8,54,2
6058,20,1,2,134,1
6059,34,2,2,233,1
6060,11,1,8,82,14
6061,42,4,2,368,3
6062,11,1,8,80,2
6063,11,1,8,82,2
6064,11,1,8,54,2
6065,11,1,8,73,1
6066,11,1,8,56,1
6067,11,2,7,75,1
6068,11,1,4,54,1
6069,34,2,2,232,27
6070,11,2,4,54,1
6071,34,2,2,232,1
6072,11,2,8,55,1
6073,11,1,8,56,1
6074,15,2,8,82,10
6075,15,2,8,82,4
6076,15,1,8,71,1
6077,20,1,2,134,1
6078,11,1,8,71,6
6079,34,2,2,227,2
6080,34,2,2,227,1
6081,11,1,8,74,1
6082,21,1,2,135,1
6083,42,1,2,283,9
6084,34,2,2,232,1
6085,15,2,8,82,1
6086,34,2,2,232,2
6087,15,2,8,80,1
6088,11,1,8,73,3
6089,15,2,8,82,6
6090,34,2,2,227,1
6091,34,2,2,229,1
6092,15,2,8,56,1
6093,11,2,8,73,11
6094,11,1,8,54,5
6095,42,4,2,368,1
6096,34,2,2,233,8
6097,34,2,2,232,17
6098,35,4,2,312,1
6099,34,2,2,232,2
6100,34,2,2,227,1
6101,11,1,8,71,1
6102,11,1,6,68,1
6103,15,2,8,82,1
6104,11,1,8,80,3
6105,11,1,8,54,1
6106,34,2,2,228,1
6107,35,4,2,312,1
6108,11,1,8,73,8
6109,15,2,8,82,14
6110,15,2,8,71,1
6111,15,2,8,82,2
6112,11,1,8,54,1
6113,11,1,2,51,1
6114,11,1,8,51,4
6115,20,1,2,219,1
6116,11,1,2,29,1
6117,34,2,2,227,1
6118,34,2,2,227,1
6119,34,2,2,232,3
6120,11,1,2,44,1
6121,35,4,2,308,1
6122,20,1,2,134,1
6123,11,1,8,87,2
6124,11,1,2,63,1
6125,34,2,2,232,1
6126,34,2,2,232,13
6127,20,1,2,134,1
6128,11,1,8,73,16
6129,11,1,8,73,18
6130,34,2,2,227,2
6131,11,1,8,50,1
6132,34,2,2,232,8
6133,11,1,8,54,5
6134,11,1,8,55,1
6135,34,2,2,232,12
6136,34,2,2,232,1
6137,20,1,2,134,1
6138,20,1,2,134,1
6139,34,2,2,229,1
6140,11,1,8,54,1
6141,34,2,2,221,1
6142,35,4,2,301,1
6143,21,1,2,95,1
6144,11,2,8,54,1
6145,34,2,2,232,5
6146,34,2,2,232,1
6147,42,1,2,283,1
6148,54,5,2,360,2
6149,15,1,2,76,1
6150,34,2,2,227,1
6151,34,2,2,234,1
6152,11,1,6,68,1
6153,11,1,2,56,1
6154,20,1,2,134,1
6155,35,4,2,301,1
6156,34,2,2,227,1
6157,20,1,2,134,7
6158,15,2,8,82,20
6159,11,2,7,75,10
6160,15,2,8,82,4
6161,34,2,2,232,5
6162,11,1,8,71,1
6163,11,1,8,70,2
6164,11,1,8,87,1
6165,11,1,8,71,2
6166,11,1,6,68,1
6167,15,2,8,82,4
6168,11,1,6,54,1
6169,11,1,8,80,2
6170,11,1,6,54,1
6171,11,1,8,68,2
6172,11,1,8,80,5
6173,34,2,2,232,1
6174,34,2,2,232,36
6175,20,1,2,134,2
6176,34,2,2,232,8
6177,34,2,2,232,1
6178,34,2,2,232,1
6179,34,2,2,232,43
6180,34,2,2,232,8
6181,34,2,2,232,8
6182,11,1,8,80,2
6183,11,1,6,54,1
6184,11,1,8,71,1
6185,11,1,8,81,3
6186,11,1,8,52,1
6187,11,1,8,71,1
6188,11,1,8,73,7
6189,11,1,8,54,2
6190,11,2,8,73,1
6191,34,2,2,232,1
6192,11,1,8,55,1
6193,11,2,8,73,1
6194,11,2,2,44,1
6195,15,2,8,82,4
6196,34,2,2,232,1
6197,11,2,8,68,1
6198,2,1,1,2,1
6199,34,2,2,234,8
6200,34,2,2,232,1
6201,11,2,2,81,2
6202,11,1,8,82,8
6203,35,4,2,307,1
6204,34,2,2,227,2
6205,11,1,8,81,2
6206,34,2,2,232,13
6207,42,1,2,283,6
6208,11,1,8,80,6
6209,11,2,7,75,1
6210,34,2,2,228,1
6211,11,1,8,80,1
6212,20,1,2,134,1
6213,15,2,8,82,5
6214,34,2,2,233,25
6215,11,1,8,80,1
6216,20,1,2,134,1
6217,34,2,2,229,5
6218,11,2,8,54,1
6219,11,1,8,55,1
6220,15,2,8,82,6
6221,11,1,8,68,8
6222,11,1,8,68,1
6223,11,1,6,68,1
6224,15,2,8,82,12
6225,11,1,2,71,1
6226,11,1,8,73,1
6227,11,1,8,80,2
6228,34,2,2,227,1
6229,34,2,2,227,1
6230,11,2,8,81,2
6231,11,1,8,74,9
6232,15,2,8,82,8
6233,34,2,2,233,49
6234,11,1,8,71,5
6235,42,1,2,120,4
6236,34,2,2,232,1
6237,34,2,2,232,17
6238,34,2,2,232,1
6239,34,2,2,232,1
6240,15,1,2,82,1
6241,15,1,2,80,1
6242,11,1,8,71,4
6243,15,2,8,82,18
