id,mean_et,mean_st,mean_rt,mean_lf,mean_vol
4810,34.5,2,2,272,8
4811,34.5,2,2,272,2
4812,34.5,2,2,272,7
4813,13,1,8,136.5,8.16666666666667
4814,15,2,8,82,1
4815,13,1,8,137.25,18.25
4816,15.5,1,5,159,2
4817,11,1,8,112,4.5
4818,34.5,2,2,269.5,2.5
4819,13,1,8,137.25,32.5
4820,34.5,2,2,272.5,3
4821,44.75,1,2,336.714285714286,10.7142857142857
4822,34.5,2,2,272,3.5
4823,11,2,8,55,5
4824,11,1,8,113,10
4825,34.5,2,2,278.2,1.2
4826,34.5,2,2,273.333333333333,3.83333333333333
4827,34.5,2,2,272.2,3.4
4828,34.5,2,2,283.666666666667,1
4829,15,2,8,142.5,7.5
4830,11,1,8,209,1
4831,11,1,8,134.5,3.75
4832,43,1,2,329.5,4.5
4833,34.5,2,2,278.142857142857,3.57142857142857
4834,15,2,8,137.25,15.5
4835,34.5,2,2,272,13
4836,44.75,1,2,336.714285714286,7.42857142857143
4837,13,1,8,115.333333333333,16.6666666666667
4838,34.5,2,2,273,42.5
4839,34.5,2,2,272,1
4840,34.5,2,2,271.5,17.75
4841,11,1,8,113,3.5
4842,34.5,2,2,273.333333333333,71.1666666666667
4843,34.5,2,2,271,5
4844,29.6666666666667,1,2,244.75,3.5
4845,34.5,1,8,118.666666666667,13.6666666666667
4846,11,1,8,195,1
4847,17,4,7.5,190.5,1.5
4848,13,1,8,118.2,7
4849,34.5,2,2,271.666666666667,14
4850,11,1,8,122.666666666667,8
4851,54,5,2,360,1
4852,11,1,8,128.333333333333,2.5
4853,11,2,8,68,6
4854,43,1,2,338.6,1.2
4855,54,1,2,360,8.5
4856,21,1,2,177.5,3
4857,20.5,2,8.5,222.25,1
4858,44.75,1,2,330.333333333333,3
4859,12.5,2,6,46,1
4860,27.5,1,2,229.8,1
4861,11,1,8,170,1
4862,15,2,8,137.25,23.25
4863,34.5,1,8,82,8
4864,34.5,2,2,272,10.5
4865,34.5,2,2,285.666666666667,1
4866,34.5,2,2,273.333333333333,2.33333333333333
4867,34.5,2,2,275.444444444444,17.3333333333333
4868,35,4,2,312,1
4869,34.5,2,2,270.666666666667,1.66666666666667
4870,11,1,8,134,1.5
4871,29.6666666666667,1,2,238.5,2.5
4872,34.5,2,2,283.090909090909,38
4873,34.5,2,2,283.666666666667,2.33333333333333
4874,11,1,8,141.5,2
4875,50,4,2,374,2
4876,11,2,8,73,4
4877,34.5,2,2,272,4
4878,15,2,8,81,1.5
4879,13,1,8,126,72
4880,34.5,2,2,274.333333333333,16.2
4881,15,2,8,142.5,3.5
4882,34.5,2,2,278.2,8.8
4883,34.5,2,2,269.5,1
4884,13,1,8,140.5,2.5
4885,11,1,8,87,1
4886,13,1,8,142.5,11.5
4887,11,1,8,187,2
4888,25,1,5.5,190.333333333333,1.33333333333333
4889,34.5,2,2,272,1
4890,34,2,2,232,1
4891,11,1,8,148,2.5
4892,34.5,1,8,82,8
4893,11,1,8,68,7
4894,11,1,8,129.25,1.25
4895,11,1,8,119,1.5
4896,25.25,1,5,201.6,2.6
4897,43,1,2,338.6,1.8
4898,34.5,2,2,273.333333333333,2.83333333333333
4899,17.25,1,7,221.2,1.2
4900,21.5,1,8,120.333333333333,12.5
4901,20,1,2,134,1
4902,43.5,1,2,337.285714285714,2.14285714285714
4903,34.5,2,2,274,10.75
4904,7,1,8,125.4,4
4905,34.5,2,2,278.142857142857,3.14285714285714
4906,11,1,8,112,2
4907,13,1,8,137.25,33
4908,20.5,1,2,177,1
4909,34.5,2,2,283.666666666667,1
4910,15,2,8,80,1
4911,11,2,8,69.5,1
4912,15,2,8,118.666666666667,3.33333333333333
4913,34.5,2,2,272,7.5
4914,34.5,2,2,269.5,1
4915,20,1,2,134,1
4916,15,2,8,121.666666666667,7.33333333333333
4917,29.6666666666667,1,2,218.75,1
4918,34.5,2,2,272.75,2
4919,11,1,8,134,1.5
4920,34.5,2,2,270.333333333333,1
4921,34.5,2,2,272,36.5
4922,11,1,8,119,2
4923,34.5,1,8,142.5,58.5
4924,34.5,2,2,269.5,1.25
4925,34.5,2,2,272,14.5
4926,25,1,5,240.818181818182,3.27272727272727
4927,11,1,8,122,1
4928,34.5,2,2,274,3.5
4929,16,2,6.33333333333333,154.75,1.25
4930,35,4,2,309.5,2
4931,35,4,2,312,1
4932,11,1,8,86.75,153.25
4933,15,2,8,77.6666666666667,16.3333333333333
4934,15,2,8,81,1
4935,15,2,8,140.5,6.5
4936,12.5,1,6,163,2
4937,13,1,8,77.6666666666667,5.33333333333333
4938,11,2,8,81,2
4939,34.5,2,2,272,2.5
4940,20,1,2,176.5,1
4941,12.5,2,6,119,1
4942,24,1,2,278.5,1
4943,34.5,2,2,285.666666666667,1.33333333333333
4944,11,2,8,61,14.5
4945,11,1,8,119,1
4946,21,1,2,177.5,1
4947,15,2,8,137.25,5.25
4948,11,1,8,97.3333333333333,19.3333333333333
4949,26.6666666666667,1,8,76.5,8.5
4950,12,1,7,216.25,1.5
4951,43,1,2,338.6,5
4952,34.5,2,2,281,20.6
4953,11,1,8,87,1
4954,43,1,2,338.6,2.8
4955,11,1,8,134.5,3
4956,34.5,2,2,271,2.16666666666667
4957,32,4,8,280,1
4958,15,2,8,121,1.33333333333333
4959,25.5,1,5,62.6,8.6
4960,13,1,8,138.75,9.5
4961,34.5,2,2,271.75,20.5
4962,34.5,2,2,273.333333333333,4
4963,15,2,8,142.5,13
4964,20,1,2,176.5,1
4965,34.5,2,2,285.666666666667,19
4966,34.5,2,2,293,7
4967,34.5,1,5,132,2.5
4968,11,1,8,119.5,1.5
4969,11,2,8,113,1
4970,12.5,1,6,105,7
4971,35,4,2,311,1
4972,29.6666666666667,1,2,218.666666666667,1
4973,11,1,8,71,1
4974,32.5,1,5,248,1.5
4975,24,1,2,278.5,6.5
4976,11,1,8,112,4
4977,15,2,8,115.333333333333,4
4978,13,1,8,137.25,10.75
4979,8.5,1,4.5,171,1
4980,29.6666666666667,1,2,236.5,1
4981,34.5,2,2,272.5,5.5
4982,34.5,2,2,293,1.5
4983,12,1,7,170.5,1.5
4984,43.5,1,2,337.714285714286,2.14285714285714
4985,34.5,2,2,274,3.25
4986,11,2,8,54,1
4987,11,1,8,130.5,2.5
4988,11,4,8,54,1
4989,16,1,6.33333333333333,179,1
4990,34.5,2,5,140.5,3
4991,11,1,8,134,5
4992,11,1,8,112,4.5
4993,11,1,8,140.5,1
4994,15.6666666666667,1,5,124.5,12.5
4995,34.5,2,2,273.333333333333,2.66666666666667
4996,34,2,2,229.5,1
4997,23,2,5,246.5,1
4998,32.5,1,5,54,1
4999,11,2,8,55,4
5000,11,1,8,136,7
5001,34.5,2,2,281,9.6
5002,13,1,8,141.5,12.25
5003,15,2,8,142.5,13
5004,34.5,2,2,270.666666666667,44.5
5005,34.5,2,2,281,2.6
5006,34,2,2,229.5,1
5007,13,1,8,114,2
5008,11,1,8,184,2.8
5009,14,1,8,220,1.2
5010,34.5,2,2,272.5,9
5011,13,1,8,142.5,7.5
5012,34.5,2,2,271.75,3.125
5013,12,1,7,197.333333333333,1
5014,34.5,2,2,273.333333333333,1.33333333333333
5015,34.5,2,2,269.25,3.875
5016,11,2,8,130.5,1
5017,15,2,8,82,2
5018,18.6666666666667,2,7.5,220.75,2.25
5019,11,1,8,141.5,3.5
5020,13,1,8,131.4,98
5021,17,1,7.5,146.5,1
5022,13,1,8,123,2.5
5023,34.5,2,2,272,1
5024,34.5,2,2,269.5,2
5025,15,2,8,137.25,3.5
5026,11,1,8,134,10
5027,11,1,8,125.666666666667,11.3333333333333
5028,15,2,8,142.5,16
5029,20,1,2,176.5,1
5030,15,2,8,142.5,7
5031,34.5,2,2,272,3
5032,11,1,8,112,1
5033,34.5,2,2,272,1.5
5034,13,1,8,141.5,13
5035,15,2,8,142.5,6
5036,34.5,2,2,272,21
5037,15,2,8,142.5,5.5
5038,34.5,2,2,274,1.5
5039,34.5,2,2,273.333333333333,10.5
5040,34.5,2,2,274,7.25
5041,11,1,8,98.6666666666667,3.33333333333333
5042,15,2,8,142.5,3
5043,11,1,8,113,1.5
5044,34.5,2,2,272,2.5
5045,12,1,7,173.333333333333,1
5046,11,1,8,134,2.5
5047,11,2,8,130.5,1
5048,11,2,8,134,30
5049,15,2,8,142.5,10
5050,11,1,8,112,1
5051,15,2,8,142.5,26.5
5052,34.5,2,2,273.333333333333,2
5053,35,4,2,312,3
5054,17,2,7.5,190.5,1.5
5055,34.5,2,2,273,1.5
5056,34.5,2,2,273.25,2.5
5057,11,4,8,54,1
5058,11,1,8,172,1
5059,15,2,8,140.5,1
5060,17,2,7.5,190.5,1.5
5061,27.5,1,2,243,1.75
5062,34.5,2,2,272,15
5063,33,4,4.5,311.2,2.4
5064,11,1,8,141.5,8
5065,13,1,8,114,1.5
5066,15,2,8,82,4
5067,18.6666666666667,1,7.5,213.333333333333,1.66666666666667
5068,11,1,8,112,1.33333333333333
5069,34.5,2,2,272,5
5070,13,1,8,142.5,20
5071,11,1,8,103,1
5072,34.5,2,2,281.6,2.2
5073,11,1,8,113,1
5074,15,2,8,80,4
5075,9.5,1,5,141.5,9.5
5076,11,2,8,141.5,3
5077,11,1,8,132,2
5078,22.5,1,5,207.5,1
5079,15,2,8,118.666666666667,12.3333333333333
5080,34.5,2,2,273.166666666667,11.6666666666667
5081,34.5,2,2,273,1
5082,34.5,2,2,272,1
5083,15,2,8,77.6666666666667,1
5084,11,2,8,119,1
5085,34.5,2,2,272,27
5086,11,1,8,119,16
5087,11,1,8,112,1
5088,34.5,2,2,272,4.5
5089,13,1,8,121,4.33333333333333
5090,35,4,2,309.5,1.5
5091,15,2,8,118.666666666667,5.33333333333333
5092,34.5,2,2,281,23.6
5093,11,1,8,128.75,10.5
5094,26.6666666666667,1,5,127.25,1.25
5095,26.6666666666667,1,5,191.8,6
5096,35,4,2,312,2
5097,34.5,2,2,276.777777777778,2.77777777777778
5098,17,2,7.5,190.5,1.5
5099,34.5,2,2,269,6.5
5100,12,1,7,177.5,12.25
5101,54,4,2,361,2
5102,34.5,2,2,273.333333333333,4.33333333333333
5103,11,1,8,86.75,15
5104,30,5,9,133,1
5105,20,1,2,176.5,1
5106,29.6666666666667,1,2,253.111111111111,2.55555555555556
5107,13,1,8,137.25,13.5
5108,11,1,8,112,5
5109,15,2,8,142.5,38
5110,13,1,6,273,1
5111,34.5,2,2,272,4.5
5112,13,1,8,137.25,6
5113,43.5,1,2,331,4.16666666666667
5114,15,2,8,82,6
5115,34.5,2,2,275,11.5
5116,34.5,2,2,273.333333333333,33.6666666666667
5117,34,2,2,231.75,1
5118,11,1,8,55,2
5119,11,1,8,122,1
5120,13,1,8,140.5,2
5121,22.5,1,5,231.5,1.25
5122,12,1,7,214,1
5123,34.5,2,2,272,2
5124,12.5,1,6,105,2.5
5125,34.5,2,2,274,5.75
5126,12,1,7,170.5,1
5127,35,4,2,309.5,1
5128,28.5,1,2,228.5,1
5129,22,4,7,262.5,1
5130,11,1,8,113,16
5131,34.5,2,2,261,1
5132,34.5,2,2,281.8,1
5133,15,2,8,141.5,6.25
5134,15.6666666666667,1,7,240.2,1
5135,17,1,7.5,206.25,1.25
5136,34.5,2,2,272,1
5137,27.5,1,2,218,1.66666666666667
5138,19.5,1,5.66666666666667,230.833333333333,1.33333333333333
5139,21,1,2,177.5,2
5140,15,2,8,142.5,22.5
5141,9,1,2,82,2.5
5142,13,1,8,140.5,6
5143,11,2,8,113,1.5
5144,15,2,8,71,3
5145,35,4,2,309.5,1
5146,11,1,8,112,2.5
5147,15,2,8,142.5,15
5148,26.6666666666667,1,8,137.25,4.5
5149,34.5,2,2,274,12
5150,32.5,1,8,127,1
5151,34.5,2,2,286.666666666667,1
5152,34.5,2,2,272,26
5153,34.5,2,2,274,12
5154,15,2,8,142.5,6
5155,13,1,8,140.5,3
5156,30,5,9,175.5,4
5157,47.6666666666667,1,2,286,16
5158,34.5,2,2,272.5,3.25
5159,34.5,2,2,278.2,1.4
5160,11,1,8,113,1.5
5161,11,1,8,195,1
5162,11,2,8,134,1.5
5163,34.5,2,2,269.5,1.25
5164,29.6666666666667,1,2,218.666666666667,1
5165,13,1,8,121.666666666667,9.66666666666667
5166,35,4,2,312,1
5167,15,2,8,76.5,23
5168,13,1,8,114,1.5
5169,11,1,8,136,2.25
5170,27,4,3,10,1
5171,34.5,2,2,272.5,3.5
5172,35,4,2,312,6
5173,20,1,2,134,1
5174,34.5,2,2,271.666666666667,35.5
5175,11,1,8,160,1
5176,32.5,1,5,135,3
5177,34.5,2,2,271.75,8.375
5178,15,2,8,142.5,4
5179,15,2,8,113.666666666667,2
5180,38.5,1,7.5,265.5,3
5181,11,1,8,112,1
5182,11,1,8,130.5,5
5183,20,1,2,176.5,1.5
5184,9.33333333333333,1,8,105,1.25
5185,34.5,2,2,272,19
5186,13,1,8,142.5,31
5187,15,2,8,142.5,15.5
5188,11,1,8,171,1
5189,35,4,2,310.666666666667,1
5190,10.3333333333333,1,5,194.833333333333,14
5191,13,1,8,132,10
5192,19.5,1,4.33333333333333,191.666666666667,1
5193,13,1,8,142.5,11
5194,35,4,2,311.5,1.5
5195,15,2,8,141.5,1
5196,13,1,8,129.5,10.8333333333333
5197,11,1,8,54,2
5198,34.5,2,2,272,9.5
5199,54,4,2,361,5
5200,11,1,8,109,4.33333333333333
5201,34.5,2,2,271.666666666667,39.8333333333333
5202,18.6666666666667,1,7.5,226.125,6.25
5203,34.5,2,2,272,10
5204,15,2,8,142.5,2
5205,34.5,2,2,272,10
5206,30,5,9,133,1
5207,18.6666666666667,2,7.5,221.5,6
5208,34.5,2,2,272,7
5209,34.5,2,2,275,1
5210,34.5,2,2,272,8.5
5211,34.5,2,2,272,13.5
5212,34.5,2,2,272,10.5
5213,34.5,2,2,272,23
5214,12,1,7,210.5,3.5
5215,26.6666666666667,1,5,78,3
5216,34.5,2,2,274,3
5217,34.5,2,2,274,22
5218,34.5,2,2,296.4,1.4
5219,34.5,2,2,272,17
5220,54,4,2,361,1
5221,11,1,8,169,4.66666666666667
5222,34.5,2,2,269.5,3
5223,34.5,2,2,269.25,2
5224,11,1,8,87,1
5225,15,2,8,80,3
5226,20,1,2,134,1
5227,11,1,8,112,1.5
5228,34.5,2,2,272,47.5
5229,34.5,2,2,275.111111111111,50.1111111111111
5230,11,1,8,86.75,75.75
5231,35,4,2,309.5,1
5232,15,2,8,142.5,10.5
5233,34.5,2,2,271.5,25.35
5234,34.5,2,2,271.666666666667,47.1666666666667
5235,17,2,7.5,190.5,4
5236,34.5,2,2,272,11.5
5237,20,1,2,176.5,1
5238,34.5,2,2,272,5.5
5239,34.5,2,2,272.5,9.375
5240,34.5,2,2,272.5,2
5241,13,1,8,142.5,14.5
5242,34,2,2,232,2
5243,11,2,8,119,1.5
5244,43,1,2,330.5,35.8333333333333
5245,11,1,8,134,4.5
5246,35,4,2,312,1
5247,15,2,8,142.5,1.5
5248,11,1,8,103,1
5249,15,2,8,121.666666666667,31
5250,35,4,2,312,1
5251,11,1,8,125.666666666667,51
5252,29.6666666666667,1,2,250.833333333333,1.83333333333333
5253,12,1,7,216.25,2.25
5254,13,1,8,141.5,3.75
5255,15,2,8,52,2
5256,54,4,2,361,1
5257,11,1,8,112,4
5258,34.5,2,2,270.6,10.6
5259,15.3333333333333,1,5,158.5,1.25
5260,11,1,8,186.333333333333,1.33333333333333
5261,34.5,2,2,272,6.5
5262,34.5,2,2,273.333333333333,1.5
5263,32.5,1,5,135,2.5
5264,26.6666666666667,1,5,186.888888888889,1.11111111111111
5265,20,1,2,176.5,1.5
5266,34.5,2,2,273.333333333333,2.33333333333333
5267,18.6666666666667,4,7.5,182,9
5268,11,2,8,134,6.5
5269,34.5,2,2,273.333333333333,3.5
5270,34.5,2,2,281.4,2.8
5271,15,2,8,106.333333333333,213.666666666667
5272,11,1,8,140,3
5273,50,1,2,331.5,1
5274,34.5,2,2,272,1
5275,34.5,2,2,272,11.5
5276,15,2,8,142.5,21
5277,34.5,2,2,269.5,1.25
5278,27.5,1,2,218,1.66666666666667
5279,20,1,2,176.5,1
5280,13,1,8,134.25,3.25
5281,46.5,1,2,284.5,271.5
5282,11,1,8,112,5.5
5283,34.5,2,2,271.5,3.5
5284,34.5,2,2,277.571428571429,24.7142857142857
5285,13,1,8,142.5,17
5286,15,2,8,137.25,16
5287,34.5,2,2,274,34.5
5288,11,1,8,113,1.5
5289,20.5,1,2,162.666666666667,1.66666666666667
5290,13,1,8,141.5,3.25
5291,11,2,8,54,3
5292,34.5,2,2,273.333333333333,4.83333333333333
5293,34.5,2,2,272,16.5
5294,26.6666666666667,1,5,127.25,1.5
5295,15,2,8,142.5,7
5296,34.5,2,2,272,4.9
5297,11,1,8,134,84
5298,20,1,2,176.5,1
5299,29.6666666666667,1,2,236.5,1.33333333333333
5300,13,1,8,140.5,18
5301,50,4,2,374,3
5302,20,1,2,176.5,2
5303,15,2,8,121.666666666667,11
5304,15,2,8,142.5,5
5305,34.5,2,2,272,1.5
5306,30,5,9,175.5,1
5307,34.5,2,2,285.666666666667,4.33333333333333
5308,34.5,2,2,272,3
5309,32.5,1,5,112,3
5310,13,1,8,118.666666666667,4.33333333333333
5311,11,1,8,134,3
5312,34.5,2,2,271.666666666667,46.6666666666667
5313,34.5,2,2,272,1
5314,34.5,2,2,269.5,1.25
5315,13,1,8,137.25,3.25
5316,32.5,2,5,81,2
5317,11,1,8,61,1
5318,34.5,2,2,272,1
5319,11,4,8,70.5,1.5
5320,13,1,8,141.5,18.75
5321,34.5,2,2,289.25,1
5322,11,1,8,70,3
5323,13,1,8,109,16
5324,34.5,1,5,121.666666666667,10.6666666666667
5325,13,1,8,142.5,22
5326,44.3333333333333,1,2,298.1,43.9
5327,34.5,2,2,272.5,15
5328,15,2,8,142.5,13.5
5329,25,1,5,191.727272727273,1.81818181818182
5330,34.5,2,2,272,2
5331,34.5,2,2,272,8.5
5332,34.5,2,2,273.333333333333,20.3333333333333
5333,11,1,8,112,8
5334,13,1,8,105.333333333333,9.66666666666667
5335,15,2,8,141.5,7.5
5336,34.5,2,2,279,7.14285714285714
5337,13,1,8,136.25,6.25
5338,14,1,7,167,1.4
5339,13,1,8,114,2
5340,12,1,7,216.25,3
5341,11,1,8,130.5,32.5
5342,34.5,2,2,273.333333333333,3.66666666666667
5343,34.5,2,2,275,1
5344,15,2,8,142.5,16
5345,34.5,1,5,137.25,22
5346,34.5,2,2,291,1
5347,11,1,8,134,1
5348,20,1,2,134,1
5349,15,2,8,113.666666666667,5.66666666666667
5350,20,1,2,176.5,1
5351,35,4,2,309,1
5352,13,1,8,142.5,8.5
5353,26.6666666666667,1,5,130.875,8.125
5354,23,2,5,69,1
5355,13,1,8,71,2
5356,11,1,8,109,47
5357,34.5,2,2,272,19
5358,11,1,8,112,2.5
5359,13,1,8,71,3
5360,34.5,2,2,273.333333333333,2.33333333333333
5361,34.5,2,2,272,29
5362,34.5,2,2,266.5,2.75
5363,12.5,1,6,105,4
5364,34.5,2,2,275.384615384615,6.61538461538461
5365,34.5,2,2,265,1.2
5366,34.5,2,2,269.5,2.5
5367,11,2,8,54,1
5368,11,2,8,134,4
5369,34.5,2,2,281,43.2
5370,11,1,8,112,4
5371,15,2,8,142.5,2
5372,15,2,8,142.5,7.5
5373,34.5,2,2,272,6
5374,11,2,8,134,5.5
5375,11,1,8,136,4.75
5376,34.5,2,2,272,9
5377,43,1,2,345,1.33333333333333
5378,35,4,2,313,1
5379,12,1,7,216.25,1.5
5380,34.5,2,2,272,5
5381,15,2,8,142.5,11
5382,11,1,8,170,1
5383,50,4,2,374,1
5384,11,1,8,136,4.75
5385,34.5,2,2,272,32.5
5386,34.5,2,2,273,2.5
5387,26.6666666666667,1,5,137.25,10
5388,34.5,2,2,272,1
5389,34.5,2,2,272.5,1
5390,34.5,2,2,272,3.5
5391,34.5,2,2,272,3
5392,11,4,8,130.5,1
5393,11,1,8,128.75,4.5
5394,20,1,2,176.5,1
5395,13,1,8,136.25,2.75
5396,34.5,2,2,271.75,9.875
5397,11,1,8,112,4.5
5398,43,1,2,330.5,26.6666666666667
5399,34,2,2,234,1
5400,11,1,8,134,1.5
5401,13,1,8,137.25,59.75
5402,29.6666666666667,1,2,218.75,1
5403,27.5,1,2,218,1
5404,15,2,8,142.5,8.5
5405,34.5,2,2,277,12.0714285714286
5406,11,2,8,134,3
5407,13,1,8,127.4,4.8
5408,11,1,8,132,2.5
5409,43,1,2,329.5,1.5
5410,11,2,8,47,1
5411,15,2,8,82,2
5412,20,1,2,176.5,1
5413,15,2,8,118.666666666667,24
5414,34.5,2,2,287,2.66666666666667
5415,27.5,1,2,217.5,1.5
5416,41,1,5.5,212,1
5417,11,1,8,112,2.5
5418,11,1,8,113,2
5419,35,4,2,312,1
5420,11,1,8,134,10
5421,21.6666666666667,1,6.33333333333333,155,1.2
5422,20,1,2,176.5,1
5423,15,2,8,142.5,27
5424,34.5,2,2,272,1
5425,13,1,8,141.5,14.25
5426,54,4,2,361,1
5427,11,2,8,73,1
5428,34.5,2,2,272.5,17.5
5429,15,2,8,142.5,15.5
5430,29,1,5,246.444444444444,2.44444444444444
5431,13,1,8,141.5,9
5432,34.5,2,2,272,5
5433,34.5,2,2,270.666666666667,4.33333333333333
5434,20,1,2,134,1
5435,34.5,2,2,272,1.5
5436,13,1,8,137.25,3.75
5437,13,1,8,138.333333333333,7.5
5438,34.5,2,2,274,35
5439,13,1,8,141.5,4
5440,34.5,2,2,272,3
5441,11,1,8,197.666666666667,1.33333333333333
5442,34.5,2,2,272,41
5443,15,2,8,142.5,12.5
5444,15,2,8,82,6
5445,34.5,2,2,272,3
5446,43,1,2,330.5,5.33333333333333
5447,15,2,8,71,2
5448,35,4,2,312,1
5449,35,4,2,312,1
5450,13,1,8,137.25,24
5451,11,1,8,112,5.5
5452,32.5,1,5,113,3
5453,15,2,8,82,20
5454,11,1,8,134,47.5
5455,23,4,7,306,1
5456,13,1,8,125.8,3.4
5457,15,2,8,142.5,8.5
5458,10,4,3,96,2
5459,11,1,8,130,1.75
5460,11,1,8,109,179
5461,15,2,8,132,2
5462,34.5,2,2,272,26.5
5463,34.5,2,2,281,18.4
5464,11,1,8,54,1
5465,15,2,8,142.5,3.5
5466,34,2,2,229.5,1
5467,34.5,2,2,272,8
5468,29,1,9,174.5,1
5469,15,2,8,142.5,8
5470,11,1,8,130.5,9.5
5471,15,2,8,142.5,10
5472,34.5,1,5,137.25,3.5
5473,29.6666666666667,1,2,249.9,2.2
5474,23,4,7,264.5,1
5475,23,1,6.5,217.5,1
5476,15,2,8,142.5,10.5
5477,11,1,8,137.75,154.75
5478,13,1,8,137.25,7.75
5479,11,2,8,55,1
5480,34.5,2,2,273.333333333333,4.5
5481,43,1,2,329.5,1.5
5482,34.5,2,2,273,2
5483,34.5,2,2,272.5,2.5
5484,12,1,7,141.25,3.5
5485,11,1,8,170,1
5486,15,2,8,142.5,8.5
5487,11,1,8,54,4
5488,21.6666666666667,1,4.66666666666667,104,4
5489,44.75,1,2,336.714285714286,4.14285714285714
5490,34.5,2,2,291,1.5
5491,11,1,8,160,1
5492,43,1,2,329.5,4.5
5493,11,1,8,171,1
5494,34.5,2,2,269,3
5495,34.5,2,2,272.5,7.75
5496,10,4,3,96,1.5
5497,13,1,8,131.4,30.6
5498,34.5,2,2,274,3.75
5499,34.5,2,2,274.117647058824,17.5882352941176
5500,34.5,2,2,284.166666666667,18.8333333333333
5501,34.5,2,2,272,10
5502,34.5,2,2,273,23
5503,15,2,8,142.5,21
5504,10.6666666666667,1,4.5,120.2,11.5
5505,35,4,2,309.5,1
5506,11,1,8,55,1
5507,15,2,8,142.5,5.5
5508,13,1,8,115.333333333333,4.33333333333333
5509,11,1,8,97.3333333333333,1.66666666666667
5510,11,1,8,135,1
5511,26.6666666666667,2,5,251.8,1
5512,15,2,8,137,1.5
5513,13,1,8,115.333333333333,1.33333333333333
5514,27.5,1,2,218,1.33333333333333
5515,13,1,8,141.5,6.25
5516,29.6666666666667,1,2,259.857142857143,1
5517,13,1,8,141.5,5.5
5518,21,1,2,220,1
5519,15,2,8,141.5,6.75
5520,35,4,2,312.5,4
5521,34.5,2,2,270.666666666667,3.5
5522,43,1,2,344.666666666667,1
5523,20,1,2,176.5,8.5
5524,44.75,1,2,336.571428571429,2.57142857142857
5525,11,4,8,54,4
5526,34.5,2,2,269,4
5527,34.5,2,5,80,2
5528,11,1,8,112,1
5529,34.5,2,2,270.666666666667,3.33333333333333
5530,11,1,8,170,2
5531,15,2,8,141.5,4
5532,13,1,8,137.25,4.75
5533,11,1,8,185,1
5534,12.6666666666667,1,6,165.666666666667,1
5535,11,1,8,134,22
5536,15,2,8,142.5,15
5537,12,1,7,216.25,1
5538,15,2,8,142.5,13
5539,34.5,2,2,272.5,36.25
5540,34.5,2,2,272,3
5541,11,1,8,59.5,1
5542,34.5,2,2,273,2
5543,13,1,8,138.333333333333,5.66666666666667
5544,28.3333333333333,1,5,139,8.8
5545,13,1,8,140.5,4.5
5546,35,4,2,314,2
5547,11,1,8,134,46
5548,29.6666666666667,1,2,218.75,1
5549,46,1,2,315.333333333333,1.33333333333333
5550,34.5,2,2,273.333333333333,2.33333333333333
5551,46.5,1,2,284.5,209
5552,20,1,2,176.5,7
5553,11,2,8,147,1
5554,11,1,8,71,2
5555,34.5,2,2,272,21.5
5556,13,1,8,136.25,4
5557,11,1,8,147.333333333333,7.33333333333333
5558,34.5,2,2,275,340
5559,11,1,8,134,24.5
5560,34.5,2,2,272,92
5561,11,1,8,131,1
5562,13,1,8,125.8,8.8
5563,13,1,8,142.5,34.5
5564,11,1,8,134,7.5
5565,34.5,2,2,285.555555555556,5
5566,34.5,2,2,272,2
5567,43,1,2,329.5,1
5568,12.5,1,6,112,8.5
5569,15,2,8,142.5,15.5
5570,34.5,2,2,270.666666666667,1.66666666666667
5571,11,1,8,112,7
5572,15,2,8,142.5,9.5
5573,15,2,8,132,1.5
5574,43,4,2,373,1
5575,29.6666666666667,1,2,259.533333333333,1
5576,11,1,8,143.333333333333,1.33333333333333
5577,15,2,8,142.5,5
5578,34.5,2,2,281.8,8
5579,34.5,2,2,272,7
5580,46.5,1,2,327,5
5581,35,4,2,301,1
5582,22,1,5,242.333333333333,3.66666666666667
5583,34.5,2,2,271.666666666667,1.33333333333333
5584,34.5,2,2,269.5,1
5585,11,1,8,151.5,2.33333333333333
5586,13,1,8,138.333333333333,7.66666666666667
5587,11,1,8,148,1.5
5588,15,2,8,121.666666666667,4.33333333333333
5589,15,2,8,142.5,9.5
5590,12.5,2,6,170,2
5591,6.5,1,8,63.6666666666667,1
5592,34.5,2,2,273.333333333333,3
5593,11,1,8,127,3
5594,13,1,8,114,6
5595,15,2,8,113.666666666667,3.33333333333333
5596,34.5,2,2,272,1
5597,13,1,8,116.333333333333,3
5598,34,2,2,234,1
5599,11,1,8,97.3333333333333,2
5600,34.5,2,2,275,146.5
5601,29.6666666666667,1,2,244.75,2
5602,20.5,2,8.5,173.5,2.5
5603,15,2,8,82,6
5604,34.5,2,2,272,2
5605,34.5,2,2,272,2
5606,13,1,8,114,2.5
5607,16.5,4,7.5,192.333333333333,4
5608,34.5,2,2,273,1
5609,13,1,8,127.4,14.4
5610,26.6666666666667,1,8,142.5,14.5
5611,15,2,8,80,2
5612,16.2,1,5.4,167.5,1
5613,34.5,2,2,272,67.5
5614,11,2,8,99.5,1
5615,11,1,8,130.5,14.5
5616,34.5,2,2,272,7.5
5617,13,1,8,140.5,4
5618,34.5,2,2,282.625,4.75
5619,34.5,2,2,272,33.5
5620,34.5,2,2,272,34
5621,13,1,8,140.5,3.5
5622,34.5,2,2,269,1
5623,15,2,8,142.5,10
5624,12,1,7,161.5,3.5
