id,max_et,max_st,max_rt,max_lf,max_vol
4939,35,2,2,312,3
4940,20,1,2,219,1
4941,14,2,8,170,1
4942,24,1,2,318,1
4943,35,2,2,313,2
4944,11,2,8,68,28
4945,11,1,8,170,1
4946,21,1,2,220,1
4947,15,2,8,203,12
4948,11,1,8,170,24
4949,54,1,8,82,16
4950,13,1,8,345,2
4951,44,1,2,376,6
4952,35,2,2,315,50
4953,11,1,8,87,1
4954,44,1,2,376,4
4955,11,1,8,198,3
4956,35,2,2,314,4
4957,32,4,8,280,1
4958,15,2,8,201,2
4959,40,1,8,145,14
4960,15,1,8,203,24
4961,35,2,2,315,61
4962,35,2,2,315,7
4963,15,2,8,203,17
4964,20,1,2,219,1
4965,35,2,2,314,33
4966,35,2,2,313,18
4967,54,1,8,193,3
4968,11,1,8,171,2
4969,11,2,8,171,1
4970,14,1,8,163,7
4971,35,4,2,314,1
4972,35,1,2,301,1
4973,11,1,8,71,1
4974,54,1,8,362,2
4975,24,1,2,318,7
4976,11,1,8,170,4
4977,15,2,8,193,8
4978,15,1,8,203,22
4979,11,1,8,171,1
4980,35,1,2,312,1
4981,35,2,2,313,11
4982,35,2,2,315,2
4983,13,1,8,273,2
4984,45,1,2,378,3
4985,35,2,2,315,5
4986,11,2,8,54,1
4987,11,1,8,191,4
4988,11,4,8,54,1
4989,23,1,8,306,1
4990,54,2,8,201,5
4991,11,1,8,195,6
4992,11,1,8,170,5
4993,11,1,8,201,1
4994,21,1,8,201,26
4995,35,2,2,315,5
4996,34,2,2,232,1
4997,35,2,8,312,1
4998,54,1,8,54,1
4999,11,2,8,55,4
5000,11,1,8,202,12
5001,35,2,2,315,21
5002,15,1,8,203,30
5003,15,2,8,203,16
5004,35,2,2,313,89
5005,35,2,2,315,5
5006,34,2,2,232,1
5007,15,1,8,172,2
5008,11,1,8,209,6
5009,18,1,10,330,2
5010,35,2,2,313,16
5011,15,1,8,203,8
5012,35,2,2,315,6
5013,13,1,8,345,1
5014,35,2,2,315,2
5015,35,2,2,312,7
5016,11,2,8,191,1
5017,15,2,8,82,2
5018,23,2,8,306,4
5019,11,1,8,202,4
5020,15,1,8,203,387
5021,23,1,8,225,1
5022,15,1,8,193,4
5023,35,2,2,312,1
5024,35,2,2,312,2
5025,15,2,8,203,8
5026,11,1,8,195,14
5027,11,1,8,195,19
5028,15,2,8,203,30
5029,20,1,2,219,1
5030,15,2,8,203,8
5031,35,2,2,312,4
5032,11,1,8,170,1
5033,35,2,2,312,2
5034,15,1,8,203,32
5035,15,2,8,203,10
5036,35,2,2,312,24
5037,15,2,8,203,10
5038,35,2,2,315,2
5039,35,2,2,315,25
5040,35,2,2,315,14
5041,11,1,8,172,6
5042,15,2,8,203,4
5043,11,1,8,171,2
5044,35,2,2,312,3
5045,13,1,8,273,1
5046,11,1,8,195,3
5047,11,2,8,191,1
5048,11,2,8,195,54
5049,15,2,8,203,19
5050,11,1,8,170,1
5051,15,2,8,203,32
5052,35,2,2,315,3
5053,35,4,2,312,3
5054,23,2,8,306,2
5055,35,2,2,313,2
5056,35,2,2,313,4
5057,11,4,8,54,1
5058,11,1,8,172,1
5059,15,2,8,201,1
5060,23,2,8,306,2
5061,35,1,2,312,3
5062,35,2,2,312,15
5063,54,4,7,362,5
5064,11,1,8,202,10
5065,15,1,8,172,2
5066,15,2,8,82,4
5067,23,1,8,306,5
5068,11,1,8,195,2
5069,35,2,2,312,6
5070,15,1,8,203,26
5071,11,1,8,161,1
5072,35,2,2,315,3
5073,11,1,8,171,1
5074,15,2,8,80,4
5075,11,1,8,202,10
5076,11,2,8,202,4
5077,11,1,8,193,2
5078,34,1,8,232,1
5079,15,2,8,203,32
5080,35,2,2,316,53
5081,35,2,2,313,1
5082,35,2,2,312,1
5083,15,2,8,82,1
5084,11,2,8,170,1
5085,35,2,2,312,28
5086,11,1,8,170,31
5087,11,1,8,170,1
5088,35,2,2,312,5
5089,15,1,8,201,6
5090,35,4,2,312,2
5091,15,2,8,203,8
5092,35,2,2,315,43
5093,11,1,8,205,20
5094,35,1,8,211,2
5095,35,1,8,312,14
5096,35,4,2,312,2
5097,35,2,2,315,7
5098,23,2,8,306,2
5099,35,2,2,310,7
5100,13,1,8,345,36
5101,54,4,2,362,2
5102,35,2,2,315,7
5103,11,1,8,170,38
5104,30,5,9,133,1
5105,20,1,2,219,1
5106,35,1,2,313,5
5107,15,1,8,203,18
5108,11,1,8,170,5
5109,15,2,8,203,51
5110,13,1,6,273,1
5111,35,2,2,312,5
5112,15,1,8,203,12
5113,45,1,2,376,10
5114,15,2,8,82,6
5115,35,2,2,315,12
5116,35,2,2,315,57
5117,34,2,2,235,1
5118,11,1,8,55,2
5119,11,1,8,182,1
5120,15,1,8,201,3
5121,34,1,8,278,2
5122,13,1,8,345,1
5123,35,2,2,312,2
5124,14,1,8,163,3
5125,35,2,2,315,10
5126,13,1,8,273,1
5127,35,4,2,312,1
5128,36,1,2,237,1
5129,22,4,7,303,1
5130,11,1,8,171,16
5131,35,2,2,315,1
5132,35,2,2,315,1
5133,15,2,8,203,20
5134,23,1,8,345,1
5135,23,1,8,306,2
5136,35,2,2,312,1
5137,35,1,2,301,2
5138,24,1,8,318,2
5139,21,1,2,220,2
5140,15,2,8,203,36
5141,9,1,2,149,3
5142,15,1,8,201,6
5143,11,2,8,171,2
5144,15,2,8,71,3
5145,35,4,2,312,1
5146,11,1,8,170,3
5147,15,2,8,203,28
5148,54,1,8,203,14
5149,35,2,2,314,19
5150,54,1,8,188,1
5151,35,2,2,314,1
5152,35,2,2,312,28
5153,35,2,2,314,16
5154,15,2,8,203,6
5155,15,1,8,201,4
5156,30,5,9,218,4
5157,50,1,2,289,16
5158,35,2,2,313,4
5159,35,2,2,313,2
5160,11,1,8,171,2
5161,11,1,8,195,1
5162,11,2,8,195,2
5163,35,2,2,312,2
5164,35,1,2,301,1
5165,15,1,8,203,20
5166,35,4,2,312,1
5167,15,2,8,82,44
5168,15,1,8,172,2
5169,11,1,8,202,4
5170,40,4,4,10,1
5171,35,2,2,313,6
5172,35,4,2,312,6
5173,20,1,2,134,1
5174,35,2,2,314,53
5175,11,1,8,160,1
5176,54,1,8,196,3
5177,35,2,2,315,13
5178,15,2,8,203,6
5179,15,2,8,203,3
5180,54,1,8,306,3
5181,11,1,8,170,1
5182,11,1,8,191,7
5183,20,1,2,219,2
5184,15,1,8,201,2
5185,35,2,2,312,23
5186,15,1,8,203,34
5187,15,2,8,203,20
5188,11,1,8,171,1
5189,35,4,2,313,1
5190,13,1,8,345,50
5191,15,1,8,193,15
5192,23,1,7,306,1
5193,15,1,8,203,18
5194,35,4,2,315,2
5195,15,2,8,203,1
5196,15,1,8,203,17
5197,11,1,8,54,2
5198,35,2,2,312,11
5199,54,4,2,362,6
5200,11,1,8,170,8
5201,35,2,2,314,52
5202,23,1,8,306,16
5203,35,2,2,312,10
5204,15,2,8,203,2
5205,35,2,2,312,15
5206,30,5,9,133,1
5207,23,2,8,306,11
5208,35,2,2,312,8
5209,35,2,2,312,1
5210,35,2,2,312,12
5211,35,2,2,312,14
5212,35,2,2,312,11
5213,35,2,2,312,23
5214,13,1,8,345,6
5215,54,1,8,82,4
5216,35,2,2,314,4
5217,35,2,2,314,25
5218,35,2,2,315,2
5219,35,2,2,312,19
5220,54,4,2,362,1
5221,11,1,8,182,10
5222,35,2,2,312,3
5223,35,2,2,312,4
5224,11,1,8,87,1
5225,15,2,8,80,3
5226,20,1,2,134,1
5227,11,1,8,170,2
5228,35,2,2,312,56
5229,35,2,2,314,176
5230,11,1,8,170,208
5231,35,4,2,312,1
5232,15,2,8,203,12
5233,35,2,2,316,77
5234,35,2,2,314,62
5235,23,2,8,306,4
5236,35,2,2,312,14
5237,20,1,2,219,1
5238,35,2,2,312,6
5239,35,2,2,315,22
5240,35,2,2,313,3
5241,15,1,8,203,17
5242,34,2,2,232,2
5243,11,2,8,170,2
5244,44,1,2,376,43
5245,11,1,8,195,7
5246,35,4,2,312,1
5247,15,2,8,203,2
5248,11,1,8,161,1
5249,15,2,8,203,50
5250,35,4,2,312,1
5251,11,1,8,195,99
5252,35,1,2,312,4
5253,13,1,8,345,3
5254,15,1,8,203,4
5255,15,2,8,52,2
5256,54,4,2,362,1
5257,11,1,8,170,4
5258,35,2,2,314,40
5259,20,1,8,219,2
5260,11,1,8,207,2
5261,35,2,2,312,8
5262,35,2,2,315,2
5263,54,1,8,196,3
5264,35,1,8,312,2
5265,20,1,2,219,2
5266,35,2,2,315,5
5267,23,4,8,306,34
5268,11,2,8,195,10
5269,35,2,2,315,5
5270,35,2,2,315,4
5271,15,2,8,167,471
5272,11,1,8,182,7
5273,50,1,2,374,1
5274,35,2,2,312,1
5275,35,2,2,312,12
5276,15,2,8,203,34
5277,35,2,2,312,2
5278,35,1,2,301,2
5279,20,1,2,219,1
5280,15,1,8,203,6
5281,47,1,2,285,273
5282,11,1,8,170,6
5283,35,2,2,314,6
5284,35,2,2,314,71
5285,15,1,8,203,19
5286,15,2,8,203,34
5287,35,2,2,314,40
5288,11,1,8,171,2
5289,21,1,2,219,2
5290,15,1,8,203,8
5291,11,2,8,54,3
5292,35,2,2,315,12
5293,35,2,2,312,17
5294,35,1,8,211,2
5295,15,2,8,203,12
5296,35,2,2,315,17
5297,11,1,8,195,96
5298,20,1,2,219,1
5299,35,1,2,312,2
5300,15,1,8,201,18
5301,50,4,2,374,3
5302,20,1,2,219,2
5303,15,2,8,203,31
5304,15,2,8,203,8
5305,35,2,2,312,2
5306,30,5,9,218,1
5307,35,2,2,313,6
5308,35,2,2,312,3
5309,54,1,8,170,3
5310,15,1,8,203,10
5311,11,1,8,195,3
5312,35,2,2,314,69
5313,35,2,2,312,1
5314,35,2,2,312,2
5315,15,1,8,203,7
5316,54,2,8,81,2
5317,11,1,8,61,1
5318,35,2,2,312,1
5319,11,4,8,87,2
5320,15,1,8,203,64
5321,35,2,2,312,1
5322,11,1,8,74,5
5323,15,1,8,203,56
5324,54,1,8,203,24
5325,15,1,8,203,24
5326,53,1,2,374,150
5327,35,2,2,313,25
5328,15,2,8,203,22
5329,35,1,8,312,3
5330,35,2,2,312,2
5331,35,2,2,312,9
5332,35,2,2,315,56
5333,11,1,8,170,12
5334,15,1,8,193,17
5335,15,2,8,203,15
5336,35,2,2,315,26
5337,15,1,8,201,11
5338,18,1,10,273,2
5339,15,1,8,172,2
5340,13,1,8,345,4
5341,11,1,8,191,46
5342,35,2,2,315,8
5343,35,2,2,315,1
5344,15,2,8,203,16
5345,54,1,8,203,45
5346,35,2,2,314,1
5347,11,1,8,195,1
5348,20,1,2,134,1
5349,15,2,8,203,12
5350,20,1,2,219,1
5351,35,4,2,310,1
5352,15,1,8,203,9
5353,54,1,8,203,40
5354,35,2,8,94,1
5355,15,1,8,71,2
5356,11,1,8,167,48
5357,35,2,2,312,24
5358,11,1,8,170,3
5359,15,1,8,71,3
5360,35,2,2,315,3
5361,35,2,2,312,30
5362,35,2,2,312,4
5363,14,1,8,163,6
5364,35,2,2,316,14
5365,35,2,2,313,2
5366,35,2,2,312,3
5367,11,2,8,54,1
5368,11,2,8,195,5
5369,35,2,2,315,92
5370,11,1,8,170,5
5371,15,2,8,203,2
5372,15,2,8,203,14
5373,35,2,2,312,6
5374,11,2,8,195,6
5375,11,1,8,202,8
5376,35,2,2,312,9
5377,44,1,2,376,2
5378,35,4,2,313,1
5379,13,1,8,345,2
5380,35,2,2,312,5
5381,15,2,8,203,14
5382,11,1,8,170,1
5383,50,4,2,374,1
5384,11,1,8,202,9
5385,35,2,2,312,33
5386,35,2,2,314,3
5387,54,1,8,203,18
5388,35,2,2,312,1
5389,35,2,2,313,1
5390,35,2,2,312,4
5391,35,2,2,312,3
5392,11,4,8,191,1
5393,11,1,8,205,8
5394,20,1,2,219,1
5395,15,1,8,201,5
5396,35,2,2,315,21
5397,11,1,8,170,6
5398,44,1,2,376,40
5399,34,2,2,235,1
5400,11,1,8,195,2
5401,15,1,8,203,186
5402,35,1,2,301,1
5403,35,1,2,301,1
5404,15,2,8,203,12
5405,35,2,2,315,27
5406,11,2,8,195,3
5407,15,1,8,203,12
5408,11,1,8,193,3
5409,44,1,2,376,2
5410,11,2,8,47,1
5411,15,2,8,82,2
5412,20,1,2,219,1
5413,15,2,8,203,63
5414,35,2,2,315,4
5415,35,1,2,301,2
5416,54,1,9,212,1
5417,11,1,8,170,4
5418,11,1,8,171,2
5419,35,4,2,312,1
5420,11,1,8,195,12
5421,30,1,9,219,2
5422,20,1,2,219,1
5423,15,2,8,203,34
5424,35,2,2,312,1
5425,15,1,8,203,37
5426,54,4,2,362,1
5427,11,2,8,73,1
5428,35,2,2,313,30
5429,15,2,8,203,26
5430,36,1,8,315,5
5431,15,1,8,203,20
5432,35,2,2,312,5
5433,35,2,2,313,10
5434,20,1,2,134,1
5435,35,2,2,312,2
5436,15,1,8,203,8
5437,15,1,8,203,30
5438,35,2,2,314,39
5439,15,1,8,201,6
5440,35,2,2,312,4
5441,11,1,8,207,2
5442,35,2,2,312,41
5443,15,2,8,203,18
5444,15,2,8,82,6
5445,35,2,2,312,4
5446,44,1,2,376,7
5447,15,2,8,71,2
5448,35,4,2,312,1
5449,35,4,2,312,1
5450,15,1,8,203,34
5451,11,1,8,170,6
5452,54,1,8,171,3
5453,15,2,8,82,20
5454,11,1,8,195,62
5455,23,4,7,306,1
5456,15,1,8,203,10
5457,15,2,8,203,12
5458,10,4,3,154,4
5459,11,1,8,195,3
5460,11,1,8,170,356
5461,15,2,8,193,2
5462,35,2,2,312,27
5463,35,2,2,315,44
5464,11,1,8,54,1
5465,15,2,8,203,4
5466,34,2,2,232,1
5467,35,2,2,312,8
5468,29,1,9,217,1
5469,15,2,8,203,14
5470,11,1,8,191,10
5471,15,2,8,203,14
5472,54,1,8,203,8
5473,35,1,2,313,4
5474,23,4,7,306,1
5475,39,1,8,380,1
5476,15,2,8,203,11
5477,11,1,8,202,336
5478,15,1,8,203,13
5479,11,2,8,55,1
5480,35,2,2,315,8
5481,44,1,2,376,2
5482,35,2,2,313,2
5483,35,2,2,313,4
5484,13,1,8,273,6
5485,11,1,8,170,1
5486,15,2,8,203,14
5487,11,1,8,54,4
5488,40,1,8,162,5
5489,50,1,2,376,6
5490,35,2,2,313,2
5491,11,1,8,160,1
5492,44,1,2,376,7
5493,11,1,8,171,1
5494,35,2,2,310,4
5495,35,2,2,313,9
5496,10,4,3,154,2
5497,15,1,8,203,78
5498,35,2,2,315,5
5499,35,2,2,316,54
5500,35,2,2,314,53
5501,35,2,2,312,10
5502,35,2,2,314,48
5503,15,2,8,203,36
5504,15,1,8,203,41
5505,35,4,2,312,1
5506,11,1,8,55,1
5507,15,2,8,203,8
5508,15,1,8,193,10
5509,11,1,8,170,2
5510,11,1,8,196,1
5511,35,2,8,312,1
5512,15,2,8,198,2
5513,15,1,8,193,2
5514,35,1,2,301,2
5515,15,1,8,203,20
5516,35,1,2,313,1
5517,15,1,8,203,10
5518,21,1,2,220,1
5519,15,2,8,203,16
5520,35,4,2,313,4
5521,35,2,2,313,4
5522,44,1,2,375,1
5523,20,1,2,219,12
5524,50,1,2,376,7
5525,11,4,8,54,4
5526,35,2,2,310,4
5527,54,2,8,80,2
5528,11,1,8,170,1
5529,35,2,2,313,5
5530,11,1,8,170,2
5531,15,2,8,203,12
5532,15,1,8,203,8
5533,11,1,8,185,1
5534,14,1,8,273,1
5535,11,1,8,195,25
5536,15,2,8,203,29
5537,13,1,8,345,1
5538,15,2,8,203,20
5539,35,2,2,313,52
5540,35,2,2,312,3
5541,11,1,8,68,1
5542,35,2,2,314,3
5543,15,1,8,203,16
5544,54,1,8,219,23
5545,15,1,8,201,7
5546,35,4,2,315,2
5547,11,1,8,195,62
5548,35,1,2,301,1
5549,50,1,2,374,2
5550,35,2,2,315,4
5551,47,1,2,285,210
5552,20,1,2,219,7
5553,11,2,8,207,1
5554,11,1,8,71,2
5555,35,2,2,312,22
5556,15,1,8,201,7
5557,11,1,8,204,18
5558,35,2,2,315,346
5559,11,1,8,195,25
5560,35,2,2,312,96
5561,11,1,8,196,1
5562,15,1,8,203,22
5563,15,1,8,203,36
5564,11,1,8,195,8
5565,35,2,2,316,14
5566,35,2,2,312,3
5567,44,1,2,376,1
5568,14,1,8,170,9
5569,15,2,8,203,23
5570,35,2,2,313,3
5571,11,1,8,170,8
5572,15,2,8,203,10
5573,15,2,8,193,2
5574,44,4,2,376,1
5575,35,1,2,314,1
5576,11,1,8,206,2
5577,15,2,8,203,6
5578,35,2,2,316,19
5579,35,2,2,312,7
5580,47,1,2,370,9
5581,35,4,2,301,1
5582,35,1,8,312,5
5583,35,2,2,314,2
5584,35,2,2,312,1
5585,11,1,8,209,4
5586,15,1,8,203,19
5587,11,1,8,209,2
5588,15,2,8,203,10
5589,15,2,8,203,16
5590,14,2,8,170,2
5591,11,1,8,136,1
5592,35,2,2,315,6
5593,11,1,8,188,3
5594,15,1,8,172,8
5595,15,2,8,203,6
5596,35,2,2,312,1
5597,15,1,8,201,4
5598,34,2,2,235,1
5599,11,1,8,170,3
5600,35,2,2,315,187
5601,35,1,2,312,3
5602,26,2,9,276,4
5603,15,2,8,82,6
5604,35,2,2,312,2
5605,35,2,2,312,2
5606,15,1,8,172,4
5607,22,4,8,305,9
5608,35,2,2,313,1
5609,15,1,8,203,57
5610,54,1,8,203,19
5611,15,2,8,80,2
5612,23,1,8,306,1
5613,35,2,2,312,68
5614,11,2,8,157,1
5615,11,1,8,191,16
5616,35,2,2,312,8
5617,15,1,8,201,6
5618,35,2,2,316,17
5619,35,2,2,312,35
5620,35,2,2,312,34
5621,15,1,8,201,4
5622,35,2,2,310,1
5623,15,2,8,203,18
5624,13,1,8,345,4
5625,35,4,2,312,1
5626,35,1,2,312,2
5627,35,4,2,315,3
5628,35,4,2,315,2
5629,11,1,8,85,1
5630,35,1,2,312,8
5631,11,2,8,68,1
5632,15,2,8,82,7
5633,15,2,8,193,2
5634,15,2,8,203,6
5635,11,1,8,203,6
5636,35,2,2,312,2
5637,15,2,8,203,16
5638,15,1,8,203,210
5639,35,2,2,315,4
5640,11,2,8,171,2
5641,15,1,8,203,44
5642,11,1,8,46,1
5643,54,1,8,203,10
5644,35,1,2,301,1
5645,35,2,2,310,6
5646,35,4,2,312,2
5647,15,2,8,201,2
5648,35,2,2,313,4
5649,35,2,2,312,6
5650,15,1,8,193,12
5651,35,4,2,312,1
5652,15,2,8,203,14
5653,35,2,2,312,56
5654,15,1,8,203,7
5655,15,2,8,203,6
5656,35,2,2,312,7
5657,15,1,8,203,22
5658,15,2,8,203,32
5659,35,2,2,314,90
5660,11,1,8,170,1
5661,35,2,2,312,104
5662,11,1,8,191,3
5663,23,2,8,306,1
5664,35,2,2,312,35
5665,26,2,9,276,2
5666,35,2,2,314,2
5667,15,2,8,82,34
5668,35,4,2,315,1
5669,35,2,8,312,3
5670,35,4,2,315,2
5671,20,1,2,219,1
5672,11,1,8,202,17
5673,15,1,8,203,30
5674,20,1,2,134,1
5675,11,1,8,195,55
5676,11,2,8,170,1
5677,15,1,8,203,35
5678,47,1,2,285,38
5679,15,2,8,193,3
5680,35,2,2,313,1
5681,14,2,8,170,1
5682,15,2,8,203,6
5683,50,1,2,370,12
5684,15,2,8,203,16
5685,35,2,2,312,14
5686,35,1,8,312,11
5687,35,2,2,312,17
5688,13,1,8,273,2
5689,35,2,2,315,148
5690,11,1,8,195,3
5691,11,1,8,172,1
5692,11,1,8,55,4
5693,15,2,8,203,35
5694,15,1,8,201,4
5695,11,1,8,170,4
5696,23,4,7,306,1
5697,15,2,8,201,8
5698,11,1,8,195,19
5699,11,1,8,202,10
5700,35,2,2,312,14
5701,15,1,8,203,8
5702,11,1,8,202,4
5703,15,1,8,203,12
5704,14,1,8,345,2
5705,11,1,8,55,1
5706,11,1,8,191,2
5707,15,2,8,203,16
5708,35,1,2,301,6
5709,20,1,2,219,1
5710,10,4,3,154,2
5711,15,1,8,193,21
5712,44,1,2,376,6
5713,35,2,2,315,99
5714,35,2,2,315,14
5715,35,2,2,312,90
5716,50,4,2,374,2
5717,11,1,8,207,19
5718,35,2,2,315,62
5719,35,2,2,315,9
5720,54,4,2,362,1
5721,35,2,2,316,98
5722,15,2,8,82,4
5723,15,2,8,203,14
5724,15,1,8,203,84
5725,15,2,8,203,21
5726,14,1,8,345,4
5727,35,2,2,312,25
5728,15,1,8,203,16
5729,35,4,2,313,1
5730,15,1,8,111,116
5731,15,2,8,82,3
5732,15,2,8,203,6
5733,15,2,8,82,32
5734,41,1,8,306,3
5735,35,1,8,312,14
5736,14,2,8,68,1
5737,20,1,8,219,3
5738,35,2,2,313,2
5739,11,1,8,171,8
5740,15,1,8,203,21
5741,15,2,8,203,23
5742,15,2,8,203,23
5743,11,1,8,54,4
5744,15,1,8,203,12
5745,35,2,2,314,30
5746,35,1,8,312,3
5747,35,2,2,315,12
5748,35,2,2,312,1
5749,13,1,8,273,2
5750,15,2,8,193,12
5751,35,2,2,312,4
5752,11,1,8,191,13
5753,50,4,2,374,3
5754,11,2,8,202,6
5755,35,2,2,315,44
5756,11,1,8,191,2
5757,20,1,2,134,1
5758,35,2,2,312,3
5759,11,2,8,73,1
5760,35,2,2,312,6
5761,11,1,8,195,2
5762,35,2,2,313,1
5763,11,1,8,191,10
5764,20,1,2,219,1
5765,11,1,8,170,2
5766,11,1,8,209,10
5767,35,2,2,315,27
5768,15,2,8,82,28
5769,15,2,8,82,4
5770,35,2,2,315,7
5771,15,1,8,203,28
5772,35,2,2,315,2
5773,26,1,9,349,5
5774,35,4,2,312,1
5775,15,2,8,203,8
5776,15,2,8,203,28
5777,35,2,2,312,1
5778,35,4,2,313,2
5779,11,1,8,170,3
5780,35,4,2,312,1
5781,11,4,8,170,4
5782,15,2,8,203,22
5783,35,2,2,313,3
5784,15,1,8,203,64
5785,35,2,2,315,16
5786,35,4,2,312,1
5787,35,2,2,312,1
5788,15,2,8,203,10
5789,35,4,2,312,1
5790,20,1,2,134,1
5791,35,2,2,315,3
5792,11,1,8,201,9
5793,35,2,2,312,1
5794,35,2,2,313,3
5795,35,2,2,312,34
5796,20,1,2,219,1
5797,11,2,8,195,15
5798,11,1,8,170,1
5799,11,2,8,81,1
5800,54,5,2,360,1
5801,15,1,8,71,3
5802,11,1,8,195,4
5803,15,2,8,203,34
5804,11,1,8,171,2
5805,35,2,2,312,38
5806,11,1,8,195,16
5807,35,2,2,313,25
5808,54,1,8,54,1
5809,35,2,2,315,5
5810,35,2,2,312,3
5811,35,2,2,310,30
5812,35,4,2,310,1
5813,35,1,8,312,3
5814,35,2,2,312,26
5815,11,1,8,209,36
5816,35,2,2,312,8
5817,35,2,2,312,2
5818,11,1,8,170,7
5819,35,2,2,314,5
5820,15,1,8,201,10
5821,11,1,8,195,10
5822,35,2,2,312,1
5823,35,2,2,314,6
5824,11,2,8,202,2
5825,35,2,2,315,12
5826,21,1,2,220,1
5827,11,1,8,202,16
5828,11,1,8,55,8
5829,35,2,2,312,1
5830,11,1,8,54,1
5831,35,1,2,312,2
5832,11,1,8,171,4
5833,11,1,8,170,2
5834,15,1,8,201,2
5835,11,1,8,203,2
5836,11,1,8,200,22
5837,14,2,8,190,1
5838,35,2,2,312,29
5839,11,1,8,170,3
5840,35,2,2,315,1
5841,35,2,2,312,11
5842,35,2,2,314,38
5843,35,2,2,312,3
5844,15,2,8,82,48
5845,35,2,2,312,11
5846,35,2,2,315,1
5847,35,1,2,358,3
5848,35,2,2,312,5
5849,35,2,2,312,4
5850,15,2,8,203,22
5851,11,2,8,155,1
5852,15,2,8,82,2
5853,11,4,8,170,13
5854,35,2,2,315,6
5855,14,1,8,170,10
5856,11,1,8,202,6
5857,23,1,8,306,8
5858,35,2,2,313,2
5859,35,2,2,314,35
5860,35,2,2,354,1
5861,11,1,8,195,87
5862,35,2,2,315,3
5863,50,1,2,376,16
5864,35,2,2,312,5
5865,34,2,2,232,1
5866,15,2,8,203,10
5867,11,1,8,195,2
5868,35,2,2,315,44
5869,35,2,2,315,4
5870,54,1,8,82,4
5871,15,1,8,203,8
5872,35,2,2,312,7
5873,35,2,2,315,13
5874,15,1,8,193,15
5875,23,1,10,342,24
5876,35,2,2,313,63
5877,26,1,9,349,10
5878,35,4,2,313,1
5879,35,2,2,315,7
5880,11,1,8,195,3
5881,35,2,2,312,1
5882,35,4,2,312,1
5883,35,2,2,312,2
5884,35,2,2,313,10
5885,35,2,2,312,4
5886,35,2,2,315,27
5887,11,1,8,171,2
5888,35,2,2,312,2
5889,23,1,8,306,3
5890,11,1,8,170,1
5891,11,4,8,170,28
5892,35,1,2,313,2
5893,15,2,8,203,4
5894,11,4,8,73,2
5895,35,2,2,313,24
5896,20,1,2,219,1
5897,15,1,8,172,2
5898,54,2,8,81,2
5899,15,2,8,193,1
5900,11,4,8,44,1
5901,24,1,2,318,1
5902,15,2,8,203,17
5903,35,2,2,312,13
5904,35,2,2,315,24
5905,14,2,8,54,1
5906,35,2,2,315,7
5907,50,1,2,374,2
5908,23,1,8,306,2
5909,44,1,2,376,3
5910,35,2,2,312,5
5911,13,1,8,273,1
5912,15,1,8,203,6
5913,15,1,8,203,10
5914,35,2,2,312,31
5915,39,2,8,380,2
5916,20,1,2,219,1
5917,54,1,8,203,36
5918,11,1,8,195,14
5919,11,1,8,170,1
5920,35,2,2,312,4
5921,11,1,8,170,6
5922,15,1,8,203,6
5923,11,1,8,207,5
5924,15,1,8,80,2
5925,35,2,2,312,10
5926,35,1,2,312,3
5927,35,2,2,315,8
5928,15,1,8,203,6
5929,11,1,8,171,2
5930,11,1,8,161,1
5931,11,1,8,171,36
5932,15,1,8,193,4
5933,11,1,8,195,4
5934,54,1,8,306,1
5935,35,2,2,312,10
5936,44,1,2,376,2
5937,11,2,8,171,2
5938,15,1,8,203,8
5939,35,2,2,315,15
5940,35,2,2,315,18
5941,35,2,2,315,4
5942,11,1,8,170,2
5943,35,2,2,313,1
5944,35,2,2,313,62
5945,35,2,2,314,37
5946,32,4,8,280,1
5947,35,2,2,315,1
5948,35,2,2,312,24
5949,20,1,2,219,1
5950,13,1,6,273,1
5951,15,2,8,203,24
5952,23,1,8,306,6
5953,15,1,8,80,3
5954,11,2,8,73,1
5955,15,1,8,183,2
5956,35,2,2,301,1
5957,35,1,2,312,1
5958,35,2,2,315,4
5959,35,2,2,312,3
5960,35,2,2,315,13
5961,15,2,8,203,56
5962,35,2,2,315,1
5963,11,1,8,191,5
5964,11,1,8,195,3
5965,11,1,8,209,2
5966,15,2,8,203,30
5967,11,1,8,197,3
5968,11,1,8,195,4
5969,15,1,8,201,1
5970,11,1,8,53,1
5971,35,2,2,312,13
5972,15,1,8,193,7
5973,11,2,8,73,1
5974,21,1,2,220,1
5975,15,1,8,82,6
5976,15,2,8,82,2
5977,11,1,8,170,2
5978,20,1,2,219,2
5979,11,1,8,191,347
5980,15,1,8,203,51
5981,11,1,8,170,5
5982,54,1,8,306,12
5983,35,2,2,312,2
5984,35,2,2,315,2
5985,35,2,2,313,24
5986,11,1,8,55,1
5987,54,1,8,203,34
5988,11,1,8,191,8
5989,38,1,8,317,8
5990,35,2,2,312,3
5991,15,1,8,203,2
5992,15,2,8,203,8
5993,50,1,2,376,1
5994,13,1,8,345,6
5995,35,2,2,314,1
5996,35,2,2,312,1
5997,54,4,2,362,8
5998,11,1,8,170,814
5999,20,1,2,219,1
6000,35,2,2,315,2
6001,35,2,2,312,1
6002,35,2,2,314,38
6003,11,2,8,170,1
6004,35,2,2,315,8
6005,35,1,2,301,1
6006,20,1,2,134,1
6007,54,4,2,362,4
6008,15,1,8,201,4
6009,35,4,2,312,2
6010,15,1,8,203,17
6011,11,1,8,170,2
6012,11,1,8,209,1
6013,35,2,2,315,12
