id,sum_et,sum_st,sum_rt,sum_lf,sum_vol
3480,69,2,2,861,11
3481,11,1,8,54,1
3482,69,2,2,1086,75
3483,69,2,2,544,4
3484,11,2,8,292,6
3485,11,2,8,226,7
3486,69,2,2,1090,16
3487,11,2,8,73,4
3488,69,2,2,1630,372
3489,69,2,2,544,8
3490,15,2,8,240,2
3491,26,1,8,281,13
3492,15,2,8,285,40
3493,15,2,8,365,20
3494,69,2,2,544,2
3495,18,1,9,268,4
3496,69,2,2,1934,89
3497,11,1,8,226,4
3498,69,2,2,1630,227
3499,11,1,8,195,2
3500,86,1,2,1318,30
3501,80,1,10,830,51
3502,15,2,8,356,88
3503,69,2,2,857,3
3504,26,1,8,549,57
3505,56,2,15,1105,21
3506,35,4,2,301,1
3507,26,1,8,484,14
3508,69,2,2,544,6
3509,129,1,2,1983,10
3510,15,2,8,285,6
3511,15,2,8,80,2
3512,55,1,2,654,3
3513,69,2,2,544,6
3514,35,4,2,312,3
3515,56,1,2,656,3
3516,69,2,2,1624,14
3517,69,2,2,1640,14
3518,55,1,2,972,4
3519,69,1,8,341,16
3520,26,1,8,549,51
3521,20,1,2,353,4
3522,25,2,12,238,6
3523,69,2,2,544,14
3524,15,2,8,162,4
3525,11,1,8,471,65
3526,20,1,2,219,1
3527,69,2,2,544,2
3528,11,1,8,268,3
3529,69,2,2,1078,10
3530,11,1,8,54,1
3531,34,2,15,381,13
3532,11,1,8,224,2
3533,69,1,21,1445,9
3534,15,2,8,285,11
3535,15,2,8,356,13
3536,11,1,8,377,65
3537,25,2,12,54,1
3538,60,1,11,439,12
3539,11,1,8,224,4
3540,11,1,8,244,2
3541,69,2,2,1078,4
3542,69,2,2,544,70
3543,69,2,2,544,25
3544,15,2,8,285,35
3545,24,1,14,341,4
3546,50,4,2,374,1
3547,15,2,8,566,11
3548,34,2,2,459,2
3549,11,1,8,226,2
3550,26,1,8,566,23
3551,89,1,2,656,3
3552,20,1,2,353,2
3553,15,2,8,365,7
3554,60,1,25,1368,45
3555,69,2,2,1405,30
3556,11,1,8,70,1
3557,11,2,8,261,3
3558,69,2,2,1397,11
3559,69,2,2,1640,17
3560,69,2,2,548,108
3561,69,2,2,1640,28
3562,11,1,8,296,4
3563,31,1,10,577,5
3564,11,1,8,268,13
3565,69,2,2,544,11
3566,35,4,2,628,6
3567,26,1,8,264,6
3568,24,1,14,341,8
3569,11,1,8,80,1
3570,89,1,2,656,3
3571,26,1,8,555,23
3572,20,1,2,134,1
3573,11,1,8,209,1
3574,69,2,2,2722,29
3575,11,1,8,260,3
3576,69,2,2,771,10
3577,69,2,2,2720,11
3578,69,2,2,544,20
3579,26,1,8,549,54
3580,35,4,2,312,1
3581,20,1,2,353,2
3582,69,2,2,1405,23
3583,69,2,2,544,52
3584,11,1,8,268,4
3585,31,1,16,941,5
3586,80,1,10,549,33
3587,26,1,8,264,11
3588,69,2,2,1325,10
3589,69,2,2,544,5
3590,11,1,8,68,1
3591,69,2,2,1956,90
3592,65,4,10,10,1
3593,69,2,2,544,49
3594,25,2,12,238,2
3595,69,2,2,544,2
3596,11,1,8,509,15
3597,55,1,2,654,5
3598,69,2,2,2722,22
3599,69,2,2,1076,100
3600,69,2,2,544,13
3601,20,1,2,353,2
3602,26,1,8,264,11
3603,35,4,2,301,1
3604,69,1,8,285,24
3605,69,2,2,1399,5
3606,11,1,8,54,1
3607,11,1,8,54,1
3608,15,2,8,356,22
3609,11,2,8,268,18
3610,35,4,2,312,1
3611,26,1,8,356,19
3612,69,2,2,544,53
3613,55,1,2,654,3
3614,11,1,8,551,35
3615,38,1,18,775,8
3616,11,1,8,170,1
3617,20,1,2,134,1
3618,11,2,8,261,3
3619,11,1,8,70,1
3620,11,1,8,1344,24
3621,26,1,8,281,5
3622,69,2,2,544,5
3623,11,1,8,224,8
3624,69,2,2,544,18
3625,15,2,8,285,16
3626,15,2,8,285,45
3627,69,2,2,1409,12
3628,69,2,2,2174,161
3629,20,1,2,353,2
3630,15,2,8,281,2
3631,69,2,2,1096,8
3632,11,1,8,325,22
3633,15,2,8,246,2
3634,11,2,8,42,3
3635,69,2,2,2251,31
3636,69,2,2,1630,429
3637,69,2,2,544,4
3638,69,2,2,544,3
3639,69,2,2,1405,259
3640,24,1,14,341,4
3641,11,1,8,268,10
3642,35,4,2,312,2
3643,69,2,2,544,10
3644,11,1,8,55,4
3645,69,2,2,1630,6
3646,55,1,2,966,5
3647,69,2,2,1078,17
3648,90,1,2,2529,21
3649,35,4,2,312,1
3650,11,1,8,54,4
3651,69,2,2,2489,11
3652,65,1,10,218,2
3653,69,2,2,544,47
3654,15,2,8,285,12
3655,11,2,8,75,2
3656,11,1,8,261,6
3657,69,2,2,544,5
3658,11,1,8,87,1
3659,11,2,8,263,2
3660,15,2,8,264,6
3661,55,1,2,654,3
3662,69,2,2,861,3
3663,32,4,8,280,1
3664,11,1,8,226,6
3665,69,2,2,544,3
3666,69,2,2,1078,4
3667,15,2,8,285,96
3668,11,2,8,283,6
3669,35,4,2,940,3
3670,11,1,8,224,6
3671,11,2,8,238,2
3672,11,1,8,224,12
3673,15,2,8,82,39
3674,38,1,18,1089,40
3675,11,1,8,206,2
3676,20,1,2,353,2
3677,35,4,2,314,1
3678,11,1,8,207,1
3679,38,1,12,378,3
3680,15,2,8,285,5
3681,69,2,2,544,8
3682,24,1,14,910,15
3683,15,2,8,566,9
3684,26,1,8,836,55
3685,69,2,2,544,20
3686,69,2,2,544,2
3687,11,1,8,80,1
3688,35,4,2,625,3
3689,11,1,8,238,4
3690,55,1,2,654,3
3691,26,1,8,538,42
3692,15,2,8,285,14
3693,24,1,14,1089,24
3694,11,1,8,54,1
3695,11,1,8,170,3
3696,26,1,8,285,88
3697,69,2,2,1078,8
3698,42,1,24,606,4
3699,69,2,2,544,42
3700,103,1,27,1946,14
3701,20,1,2,353,2
3702,26,1,8,899,48
3703,35,4,2,312,1
3704,69,2,2,536,4
3705,67,4,12,1133,15
3706,69,1,8,285,14
3707,11,2,8,224,3
3708,55,1,2,1054,4
3709,11,1,8,71,1
3710,34,2,15,381,4
3711,69,2,2,544,6
3712,11,1,8,226,36
3713,11,1,8,296,2
3714,11,4,8,261,4
3715,10,5,3,441,8
3716,15,2,8,285,12
3717,69,1,8,549,49
3718,15,2,8,285,8
3719,24,1,14,842,8
3720,69,2,2,544,10
3721,55,1,2,654,4
3722,42,1,24,1456,8
3723,11,1,8,268,2
3724,10,4,3,154,1
3725,69,2,2,544,2
3726,11,4,8,68,2
3727,26,1,8,626,71
3728,35,4,2,312,1
3729,56,1,2,1275,5
3730,26,1,8,274,6
3731,15,2,8,319,193
3732,11,4,8,224,3
3733,26,1,8,285,9
3734,26,1,8,566,58
3735,15,2,8,285,3
3736,26,1,8,281,4
3737,69,1,10,82,7
3738,11,1,8,436,4
3739,15,2,8,549,24
3740,11,1,8,224,12
3741,11,1,8,716,45
3742,103,1,27,2027,42
3743,11,1,8,224,10
3744,69,2,2,861,4
3745,100,1,10,2340,50
3746,69,2,2,2706,366
3747,179,1,2,2272,25
3748,26,1,8,285,12
3749,11,1,8,466,6
3750,11,1,8,226,5
3751,11,1,8,239,2
3752,69,2,2,1939,158
3753,69,2,2,1640,55
3754,35,4,2,312,1
3755,11,1,8,170,16
3756,11,1,8,224,3
3757,11,1,8,224,10
3758,11,1,8,270,2
3759,11,1,8,56,1
3760,129,1,2,1608,6
3761,11,1,8,520,10
3762,11,1,8,342,6
3763,26,1,8,830,24
3764,69,2,2,1640,23
3765,11,2,8,73,5
3766,25,4,12,54,1
3767,11,2,8,268,17
3768,26,1,8,264,7
3769,11,1,8,494,119
3770,26,1,8,538,13
3771,69,2,2,544,26
3772,69,2,8,145,7
3773,69,2,2,1096,18
3774,26,1,8,513,15
3775,11,1,8,327,1084
3776,15,2,8,80,1
3777,69,2,2,1078,5
3778,69,2,2,1086,4
3779,11,2,8,171,1
3780,69,2,2,544,57
3781,69,2,2,544,2
3782,11,1,8,224,28
3783,68,1,21,869,8
3784,15,2,8,285,20
3785,11,1,8,377,11
3786,88,1,10,549,42
3787,69,2,2,1096,155
3788,55,1,2,1367,6
3789,15,2,8,285,81
3790,11,1,8,224,3
3791,69,2,2,544,37
3792,26,1,8,201,4
3793,20,1,2,134,1
3794,11,1,8,226,2
3795,48,1,19,739,6
3796,11,1,8,161,1
3797,43,1,8,504,9
3798,69,2,2,1630,147
3799,32,4,8,280,2
3800,15,2,8,285,32
3801,15,2,8,264,15
3802,69,2,2,1640,13
3803,11,4,8,44,1
3804,69,2,2,1630,28
3805,69,2,2,544,40
3806,69,2,2,1090,4
3807,11,1,8,170,2
3808,11,1,8,377,3
3809,35,4,2,312,1
3810,69,2,2,544,43
3811,11,1,8,283,16
3812,69,2,2,1096,11
3813,69,2,2,1096,5
3814,11,1,8,261,5
3815,26,1,8,853,62
3816,26,1,8,264,10
3817,69,2,2,544,4
3818,26,1,8,346,13
3819,11,1,8,264,2
3820,34,2,2,459,2
3821,50,4,2,374,2
3822,65,1,8,226,4
3823,26,1,8,344,8
3824,11,1,8,224,5
3825,15,2,8,549,63
3826,26,1,8,264,15
3827,20,1,2,353,2
3828,11,1,8,507,6
3829,25,1,12,276,19
3830,69,2,2,1090,8
3831,69,2,2,544,132
3832,69,2,2,1640,8
3833,69,2,2,851,39
3834,26,1,8,566,39
3835,69,2,2,544,2
3836,31,1,10,636,8
3837,174,1,2,2654,267
3838,69,2,2,522,3
3839,11,1,8,511,44
3840,15,2,8,228,2
3841,69,2,2,1628,6
3842,21,1,2,220,1
3843,69,2,2,1624,14
3844,11,1,8,261,2
3845,69,2,2,1078,4
3846,10,4,3,154,1
3847,11,1,8,268,33
3848,11,1,8,296,2
3849,69,2,2,522,3
3850,15,2,8,233,23
3851,26,1,8,430,14
3852,15,2,8,285,62
3853,69,2,2,544,12
3854,69,2,2,544,59
3855,11,1,8,268,59
3856,11,1,8,474,6
3857,26,1,8,285,24
3858,11,1,8,379,11
3859,80,1,10,1771,8
3860,11,1,8,270,2
3861,24,1,14,865,11
3862,69,2,2,1090,9
3863,69,2,2,544,13
3864,69,2,2,851,3
3865,15,2,8,285,69
3866,69,2,2,1640,28
3867,15,2,8,285,30
3868,15,2,8,285,14
3869,15,2,8,285,15
3870,69,2,2,1012,6
3871,26,1,8,812,76
3872,15,2,8,566,13
3873,11,2,8,226,2
3874,24,1,14,683,40
3875,69,2,2,544,121
3876,11,2,8,70,1
3877,15,2,8,285,62
3878,69,2,8,285,11
3879,26,1,8,246,8
3880,11,1,8,224,2
3881,69,2,2,2172,204
3882,80,1,10,690,9
3883,69,1,10,153,9
3884,26,1,8,285,41
3885,15,2,8,285,9
3886,11,1,8,281,2
3887,86,1,2,1318,12
3888,65,1,10,224,14
3889,69,2,2,544,82
3890,15,2,8,71,6
3891,15,2,8,162,7
3892,69,2,2,1630,389
3893,69,2,2,851,3
3894,80,1,10,363,20
3895,11,1,8,224,4
3896,24,1,14,341,2
3897,15,2,8,285,21
3898,55,1,2,435,3
3899,11,2,8,247,6
3900,11,1,8,511,14
3901,69,2,2,1096,4
3902,26,1,8,264,7
3903,89,1,2,1505,20
3904,15,2,8,285,7
3905,26,1,8,285,11
3906,11,1,8,268,24
3907,11,2,8,68,22
3908,26,5,9,625,2
3909,69,2,2,550,3
3910,26,1,8,264,31
3911,69,2,2,1640,25
3912,69,2,2,544,11
3913,69,2,2,1405,6
3914,89,1,2,875,7
3915,11,1,8,268,2
3916,11,1,8,988,13
3917,11,2,8,54,1
3918,26,1,8,264,9
3919,11,1,8,261,11
3920,35,1,10,205,2
3921,26,1,8,657,458
3922,69,2,2,544,14
3923,69,2,2,2726,22
3924,35,4,2,315,1
3925,11,2,8,86,1
3926,69,2,2,544,8
3927,26,1,8,285,27
3928,20,1,2,353,2
3929,11,2,8,268,13
3930,11,1,8,517,10
3931,11,1,8,283,6
3932,69,2,2,1094,8
3933,54,5,2,360,1
3934,69,2,2,546,21
3935,11,2,8,417,10
3936,15,2,8,285,40
3937,43,1,8,504,10
3938,26,1,8,228,13
3939,69,2,2,2174,59
3940,52,1,17,540,13
3941,69,2,2,1640,8
3942,26,1,8,285,14
3943,15,2,8,285,15
3944,11,1,8,268,114
3945,15,2,8,356,63
3946,15,2,8,285,12
3947,11,1,8,261,7
3948,69,2,2,1076,98
3949,11,1,8,54,1
3950,35,4,2,623,2
3951,15,2,8,566,6
3952,26,1,8,566,23
3953,11,1,8,252,5
3954,55,1,2,1586,7
3955,15,2,8,281,5
3956,55,1,2,1586,6
3957,69,2,2,1640,27
3958,25,2,12,94,16
3959,69,2,2,544,6
3960,69,2,2,550,152
3961,86,1,2,1318,46
3962,69,2,2,1090,33
3963,11,1,8,224,8
3964,11,1,8,226,54
3965,69,2,2,1628,401
3966,47,1,2,285,38
3967,24,1,14,592,8
3968,11,1,8,55,8
3969,15,2,8,285,15
3970,69,2,2,1640,16
3971,26,1,8,798,30
3972,20,1,2,134,1
3973,56,1,2,590,3
3974,69,2,2,550,17
3975,69,2,2,2166,99
3976,26,1,8,629,140
3977,26,1,8,285,26
3978,11,2,8,73,2
3979,69,2,2,536,2
3980,26,1,8,549,14
3981,21,1,2,355,2
3982,55,1,2,435,2
3983,11,1,8,226,2
3984,15,2,8,285,27
3985,26,1,8,549,40
3986,11,2,8,268,3
3987,69,2,2,544,15
3988,11,1,8,54,2
3989,69,2,2,544,15
3990,69,2,2,1947,45
3991,69,2,2,544,2
3992,89,1,2,1198,9
3993,11,1,8,224,4
3994,26,1,8,549,52
3995,26,1,8,363,15
3996,69,2,2,544,16
3997,69,2,2,1640,10
3998,69,2,2,544,5
3999,35,4,2,932,3
4000,25,1,12,210,14
4001,56,4,15,909,11
4002,26,1,8,566,51
4003,69,2,2,857,6
4004,69,2,2,1090,7
4005,15,2,8,82,10
4006,26,1,8,566,10
4007,26,1,8,71,2
4008,15,2,8,285,21
4009,11,1,8,226,4
4010,69,2,2,1076,47
4011,25,2,12,68,1
4012,89,1,2,3141,38
4013,41,1,2,708,6
4014,41,2,17,889,11
4015,69,2,2,1096,4
4016,69,2,2,544,11
4017,35,4,2,1246,4
4018,69,2,2,544,14
4019,15,2,8,356,17
4020,69,2,2,2710,93
4021,26,1,8,363,16
4022,11,1,8,296,6
4023,69,2,2,1078,4
4024,11,1,8,171,2
4025,69,2,2,1090,34
4026,26,1,8,549,45
4027,11,1,8,224,68
4028,69,2,2,2720,56
4029,15,2,8,365,25
4030,55,1,2,966,5
4031,11,1,8,226,23
4032,11,1,8,73,1
4033,69,2,2,2174,497
4034,69,2,2,544,38
4035,11,2,8,237,4
4036,129,1,2,1983,41
4037,11,1,8,228,2
4038,20,1,2,353,2
4039,47,1,2,655,143
4040,69,2,2,1078,4
4041,11,1,8,428,7
4042,80,1,10,2691,18
4043,26,1,8,285,68
4044,11,1,8,224,7
4045,24,1,14,467,81
4046,26,1,8,285,16
4047,15,2,8,365,16
4048,11,2,8,68,1
4049,11,1,8,201,1
4050,11,2,8,224,14
4051,15,2,8,82,2
4052,11,2,8,283,8
4053,11,1,8,170,2
4054,11,2,8,55,1
4055,13,1,6,273,1
4056,11,1,8,511,24
4057,26,1,8,346,11
4058,24,1,14,646,20
4059,11,2,8,55,2
4060,11,2,8,54,1
4061,69,1,10,285,15
4062,69,2,2,544,4
4063,69,2,2,544,42
4064,69,2,2,1624,7
4065,100,1,10,1467,6
4066,11,2,8,283,28
4067,42,1,24,918,4
4068,15,2,8,365,22
4069,11,2,8,55,1
4070,50,1,11,704,4
4071,69,2,2,1628,42
4072,69,2,2,1640,40
4073,15,2,8,285,17
4074,23,4,7,529,6
4075,69,2,2,1624,29
4076,43,1,9,659,3
4077,69,2,2,544,10
4078,25,2,12,68,1
4079,34,1,15,530,4
4080,20,1,2,353,2
4081,69,2,2,1640,13
4082,33,2,15,391,4
4083,26,1,8,819,13
4084,11,1,8,268,26
4085,26,1,8,285,6
4086,35,4,2,1241,6
4087,70,1,17,338,3
4088,86,1,2,1318,10
4089,69,2,2,1096,21
4090,55,1,2,966,6
4091,24,1,14,520,5
4092,26,1,8,365,21
4093,86,1,2,1318,26
4094,15,2,8,436,26
4095,69,2,2,544,47
4096,74,1,2,353,2
4097,20,1,2,134,1
4098,25,1,12,224,8
4099,35,4,2,301,2
4100,26,1,8,566,15
4101,86,1,2,1318,50
4102,26,1,8,830,46
4103,69,2,2,1715,6
4104,11,1,8,261,9
4105,26,1,8,264,23
4106,11,1,8,224,24
4107,41,2,17,889,12
4108,80,1,8,549,40
4109,69,2,2,544,2
4110,35,4,2,312,2
4111,26,1,8,363,6
4112,69,2,2,546,3
4113,15,2,8,285,29
4114,11,1,8,68,1
4115,69,2,2,544,211
4116,69,2,2,544,9
4117,24,1,14,592,5
4118,15,2,8,285,19
4119,47,1,2,285,188
4120,38,1,18,413,9
4121,15,2,8,566,27
4122,14,1,8,627,26
4123,56,2,15,1131,11
4124,80,1,10,289,35
4125,69,2,2,1630,308
4126,15,2,8,365,72
4127,55,1,2,1273,5
4128,143,1,2,1971,32
4129,55,1,2,961,6
4130,24,1,14,592,5
4131,26,1,8,830,122
4132,69,2,2,544,2
4133,11,2,8,226,2
4134,26,1,8,356,31
4135,11,1,8,268,18
4136,15,2,8,285,30
4137,11,2,8,238,2
4138,11,2,8,73,2
4139,69,2,2,2706,105
4140,26,1,8,285,80
4141,15,2,8,285,15
4142,65,1,10,70,2
4143,29,1,18,1121,5
4144,11,1,8,209,3
4145,89,1,2,2505,410
4146,24,1,14,399,2
4147,15,2,8,285,13
4148,11,1,8,974,16
4149,26,1,8,549,21
4150,20,1,2,353,2
4151,15,2,8,82,2
4152,15,2,8,153,4
4153,11,1,8,511,22
4154,69,2,2,544,58
4155,69,2,2,1092,63
4156,11,1,8,206,1
4157,15,2,8,82,56
4158,69,2,2,544,37
4159,69,2,2,1644,169
4160,20,1,2,353,2
4161,29,1,9,349,2
4162,11,1,8,268,27
4163,15,2,8,162,12
4164,69,1,10,434,8
4165,25,2,12,238,2
4166,50,1,8,423,8
4167,32,4,8,280,1
4168,15,2,8,82,6
4169,15,2,8,549,14
4170,20,1,2,134,1
4171,69,2,2,548,39
4172,69,2,2,1078,10
4173,69,2,2,851,37
4174,15,2,8,153,6
4175,15,2,8,285,8
4176,89,1,2,1732,7
4177,26,1,8,566,74
4178,26,1,8,363,20
4179,11,1,8,296,4
4180,69,2,2,1076,6
4181,15,2,8,549,67
4182,35,4,2,312,1
4183,26,1,8,264,79
4184,69,2,2,781,4
4185,26,1,8,228,16
4186,11,1,8,261,6
4187,69,2,2,544,4
4188,129,1,2,1983,17
4189,11,1,8,515,18
4190,69,2,2,1096,11
4191,20,1,2,353,2
4192,15,2,8,162,4
4193,69,2,2,1630,333
4194,69,2,2,1640,46
4195,129,1,2,1693,13
4196,11,1,8,54,2
4197,11,1,8,261,26
4198,69,2,2,1479,59
4199,80,2,10,2355,9
4200,26,1,8,356,37
4201,69,2,2,1407,7
4202,179,2,2,1783,16
4203,11,1,8,283,24
4204,11,1,8,226,4
4205,11,2,8,40,1
4206,69,2,2,1078,6
4207,24,1,14,865,12
4208,69,2,2,548,18
4209,15,2,8,285,31
4210,11,1,8,520,4
4211,11,1,8,55,1
4212,11,2,8,268,3
4213,69,2,2,1624,20
4214,69,2,2,544,29
4215,11,1,8,224,18
4216,15,2,8,634,89
4217,69,2,2,1850,9
4218,34,1,15,530,3
4219,11,1,8,226,3
4220,11,1,8,73,1
4221,69,2,2,1947,39
4222,33,1,9,1340,118
4223,69,2,2,544,12
4224,15,2,8,285,25
4225,11,2,8,54,7
4226,11,1,8,374,7
4227,35,4,2,312,1
4228,11,1,8,268,41
4229,15,2,8,285,5
4230,11,1,8,314,3
4231,15,2,8,285,5
4232,15,2,8,549,203
4233,11,1,8,386,3
4234,69,2,2,1078,6
4235,20,1,2,353,2
4236,11,2,8,268,18
4237,69,2,2,1640,58
4238,15,2,8,285,6
4239,11,1,8,597,46
4240,69,2,2,1405,11
4241,26,1,8,346,31
4242,69,2,2,544,2
4243,69,2,2,4107,468
4244,43,1,8,504,5
4245,35,4,2,312,2
4246,35,4,2,619,2
4247,69,2,2,544,2
4248,20,1,2,353,2
4249,24,1,14,865,12
4250,26,1,8,566,31
4251,26,1,8,285,70
4252,89,1,2,1198,95
4253,15,2,8,63,1
4254,26,1,8,545,5
4255,11,2,8,268,5
4256,69,2,2,544,12
4257,26,1,8,281,4
4258,15,2,8,285,8
4259,69,2,2,1096,14
4260,11,1,8,224,8
4261,46,1,10,138,2
4262,15,2,8,82,38
4263,11,2,8,226,2
4264,69,2,2,1096,32
4265,69,2,2,2479,236
4266,105,1,27,2000,25
4267,26,1,8,285,6
4268,35,4,2,619,4
4269,69,2,2,544,6
4270,69,2,2,2322,16
4271,80,1,10,830,46
4272,69,2,2,544,4
4273,15,2,8,285,28
4274,15,2,8,285,52
4275,26,1,8,228,6
4276,65,1,10,270,2
4277,129,1,2,1983,74
4278,26,1,8,285,14
4279,26,1,8,281,12
4280,69,2,2,544,6
4281,69,2,2,548,2
4282,26,1,8,346,108
4283,69,2,2,544,38
4284,26,1,8,545,18
4285,69,2,2,1002,11
4286,26,1,8,566,45
4287,86,1,2,1318,32
4288,20,1,2,353,2
4289,69,2,2,1638,6
4290,11,1,8,268,2
4291,20,1,2,353,2
4292,11,2,8,77,1
4293,26,1,8,549,53
4294,11,1,8,283,17
4295,35,4,2,937,3
4296,69,2,2,1953,64
4297,69,2,2,857,3
4298,69,2,2,544,22
4299,11,1,8,170,1
4300,11,1,8,334,2
4301,69,2,2,544,8
4302,11,2,8,73,7
4303,69,2,2,1078,21
4304,95,1,2,708,5
4305,69,2,2,1628,373
4306,69,2,2,1172,4
4307,41,2,17,540,5
4308,11,1,8,53,1
4309,15,2,8,71,1
4310,80,1,10,1771,61
4311,26,1,8,836,51
4312,20,1,2,353,2
4313,11,1,8,268,18
4314,20,1,2,353,2
4315,15,2,8,80,1
4316,11,1,8,170,1
4317,35,4,2,308,1
4318,24,1,14,399,2
4319,11,1,8,487,14
4320,24,1,14,341,2
4321,69,2,2,544,3
4322,35,4,2,301,1
4323,24,1,14,865,11
4324,26,1,8,549,100
4325,31,1,10,408,3
4326,15,2,8,426,36
4327,69,2,2,544,44
4328,26,1,8,545,37
4329,11,1,8,283,4
4330,11,1,8,268,33
4331,15,2,8,285,40
4332,26,1,8,555,51
4333,86,1,2,1318,32
4334,69,2,2,1706,95
4335,11,1,8,170,2
4336,69,2,2,1859,18
4337,15,2,8,285,6
4338,26,1,8,426,48
4339,78,1,16,341,5
4340,69,2,2,544,9
4341,31,1,10,868,26
4342,89,1,2,1286,10
4343,33,1,15,749,7
4344,11,1,8,347,447
4345,69,2,2,544,68
4346,11,1,8,268,17
4347,37,4,12,279,2
4348,26,1,8,549,99
4349,129,1,2,1983,42
4350,15,2,8,153,3
4351,26,1,8,549,24
4352,55,1,2,654,3
4353,69,2,2,1640,9
4354,69,2,2,1170,29
4355,20,1,2,353,2
4356,11,1,8,224,5
4357,11,1,8,268,12
4358,11,1,8,224,23
4359,69,2,2,862,3
4360,15,2,8,566,34
4361,13,1,6,345,1
4362,89,1,2,875,4
4363,69,2,2,544,18
4364,15,2,8,285,74
4365,24,1,14,341,2
4366,26,1,8,566,38
4367,69,2,2,1078,4
4368,86,1,2,1318,25
4369,26,1,8,777,135
4370,20,1,2,353,2
4371,69,2,2,851,3
4372,11,1,8,224,24
4373,11,2,8,55,1
4374,69,2,2,544,45
4375,20,1,2,353,10
4376,69,2,2,1078,4
4377,35,4,2,312,1
4378,55,1,2,435,2
4379,69,1,10,264,4
4380,69,2,2,1312,25
4381,86,1,2,1318,54
4382,69,2,2,4429,267
4383,20,1,2,219,1
4384,69,2,2,544,2
4385,30,5,9,133,1
4386,24,1,14,740,16
4387,86,1,2,1318,21
4388,35,1,10,781,6
4389,11,2,8,283,4
4390,55,1,2,654,3
4391,69,2,2,1090,89
4392,26,1,8,513,11
4393,69,2,2,544,67
4394,11,1,8,224,3
4395,20,1,2,353,5
4396,26,1,8,285,10
4397,69,2,2,544,2
4398,69,2,2,1640,365
4399,69,2,2,2154,56
4400,11,1,8,139,3
4401,69,1,21,1010,6
4402,26,1,8,363,4
4403,15,2,8,285,9
4404,69,2,2,544,10
4405,69,2,2,1640,54
4406,11,1,8,226,8
4407,11,1,8,226,18
4408,69,2,2,548,12
4409,11,1,8,170,1
4410,69,2,2,544,30
4411,46,1,10,634,6
4412,89,1,2,1750,10
4413,15,2,8,285,5
4414,20,1,2,353,2
4415,74,1,2,353,2
4416,86,4,2,744,6
4417,11,4,8,224,2
4418,11,1,8,270,4
4419,54,4,2,722,2
4420,55,1,2,654,5
4421,25,2,12,122,2
4422,11,1,8,261,11
4423,13,1,6,618,6
4424,46,1,10,472,2
4425,80,2,10,2515,30
4426,65,1,10,224,12
4427,69,2,2,2174,49
4428,69,2,2,1630,138
4429,15,2,8,82,12
4430,80,1,10,830,41
4431,69,2,2,544,11
4432,11,1,8,377,191
4433,11,1,8,55,1
4434,89,1,2,1953,34
4435,11,2,8,226,2
4436,69,2,2,1078,49
4437,69,2,2,2174,27
4438,100,1,10,1915,10
4439,69,2,2,1078,11
4440,26,1,8,1058,143
4441,56,2,15,686,3
4442,34,2,2,235,1
4443,69,2,2,544,475
4444,26,1,8,346,8
4445,56,4,15,1222,70
4446,69,2,2,544,2
4447,69,2,2,3246,28
4448,11,4,8,226,2
4449,11,1,8,377,389
4450,11,2,8,73,3
4451,11,1,8,551,62
4452,20,1,2,353,2
4453,15,2,8,549,33
4454,26,1,8,549,22
4455,69,2,2,1078,7
4456,69,2,2,544,5
4457,15,2,8,356,13
4458,129,1,2,1983,230
4459,38,1,18,585,15
4460,11,2,8,224,4
4461,11,2,8,247,7
4462,35,4,2,312,1
4463,69,2,2,544,29
4464,11,1,8,296,3
4465,26,1,8,546,57
4466,26,1,8,549,22
4467,129,1,2,1693,20
4468,69,2,2,2486,132
4469,11,2,8,122,5
4470,26,1,8,555,53
4471,11,1,8,268,10
4472,15,2,8,285,15
4473,38,1,18,467,8
4474,55,1,9,974,4
4475,69,2,2,1078,4
4476,65,2,10,81,1
4477,69,2,2,1094,264
4478,69,2,2,544,34
4479,31,1,10,621,6
4480,80,1,10,483,14
4481,69,2,2,544,10
4482,55,1,2,1273,9
4483,69,2,2,1090,9
4484,69,2,2,2174,123
4485,11,1,8,50,1
4486,11,1,8,74,1
4487,11,1,8,283,26
4488,11,1,8,188,1
4489,15,2,8,285,11
4490,11,1,8,122,10
4491,11,1,8,73,11
4492,69,2,2,1622,146
4493,26,1,8,549,32
4494,69,2,2,1938,123
4495,20,1,2,353,2
4496,11,1,8,224,4
4497,20,1,2,353,2
4498,69,2,2,544,54
4499,13,1,6,345,1
4500,69,2,2,544,5
4501,20,1,2,353,3
4502,26,1,8,281,2
4503,11,2,8,226,2
4504,46,1,10,138,2
4505,69,2,2,2174,8
4506,11,1,8,268,9
4507,69,2,2,544,23
4508,15,2,8,285,39
4509,11,1,8,345,4
4510,69,2,2,1408,9
4511,11,1,8,349,7
4512,11,1,8,336,16
4513,69,2,2,548,14
4514,11,1,8,261,10
4515,86,1,2,1318,33
4516,65,1,10,224,5
4517,129,1,2,1693,22
4518,69,2,2,544,2
4519,35,4,2,619,2
4520,26,1,8,281,6
4521,69,2,2,1078,4
4522,40,5,12,324,3
4523,34,2,2,459,2
4524,80,1,8,153,14
4525,15,2,8,549,19
4526,15,2,8,285,10
4527,35,4,2,315,1
4528,69,2,2,2178,14
4529,86,4,2,744,4
4530,69,2,2,544,6
4531,21,1,2,135,1
4532,11,4,8,224,2
4533,69,2,2,544,16
4534,11,1,8,224,4
4535,15,2,8,162,23
4536,20,1,2,134,1
